Species,p-value,P_adj,Log2FC,Over-/under-representation
Brachybacterium sp  P6 10 X1,0.0065310531583406,0.020937788066445,-0.3248723478973296,NEUTRAL
Staphylococcus hominis,0.0067483630975416,0.0213209152936823,-1.6682989498033276,DOWN
Micrococcus luteus,0.0075586800580148,0.0232083415865809,-0.5778914168992433,NEUTRAL
Acinetobacter indicus,0.0091015964809837,0.0271801100391023,-1.663815732999483,DOWN
Brevibacterium sp  CS2,0.0157586796667088,0.0464242184776015,-1.269198353879622,DOWN
Thalassiosira pseudonana,0.0204630858771424,0.0594793696162272,-0.1022316357547179,NEUTRAL
Janibacter indicus,0.020852367169648,0.0594926083394277,-0.9389500799864504,NEUTRAL
Pseudomonas putida,0.0210134442299813,0.0594926083394277,-0.4286352299468881,NEUTRAL
Brachybacterium ginsengisoli,0.0268533789113008,0.0750517513161996,-0.3074936161430415,NEUTRAL
Pseudomonas stutzeri,0.0334869731499754,0.0924070904644892,-0.8821008192931417,NEUTRAL
Kocuria sp  KD4,0.0358900005554371,0.096592841001053,0.3605582714719499,NEUTRAL
Pseudomonas oryzihabitans,0.0355216850040374,0.096592841001053,-0.1792328272317362,NEUTRAL
Brachybacterium sp  SGAir0954,0.04668451835624,0.121157440495956,-0.313531328036575,NEUTRAL
Corynebacterium sanguinis,0.0532469585456521,0.136023534982908,-2.211467541985331,NEUTRAL
Brachybacterium faecium,0.0624803488627569,0.156447901441486,-0.3475242752874887,NEUTRAL
Moraxella osloensis,0.070240597034167,0.172050001724139,-1.4216625344418876,NEUTRAL
Acinetobacter baumannii,0.0794811960607476,0.188335877622206,-1.86112727955814,NEUTRAL
Janibacter limosus,0.0818149350123194,0.191781245512749,-0.2972191118274399,NEUTRAL
Corynebacterium ureicelerivorans,0.114518879735406,0.252172886690086,-1.5909001935487614,NEUTRAL
Brevibacterium linens,0.118603297049728,0.258555187568407,-0.8875868775407003,NEUTRAL
Pseudoxanthomonas suwonensis,0.132514568206146,0.28602154325683,-0.1588967927100331,NEUTRAL
Staphylococcus saprophyticus,0.27164772721345,0.512055238567207,-2.210988841514398,NEUTRAL
Acinetobacter schindleri,0.267830116636214,0.512055238567207,-0.7781708474797808,NEUTRAL
Aeromonas caviae,0.272469759971542,0.512055238567207,-1.249836630628785,NEUTRAL
Acinetobacter johnsonii,0.276253709486758,0.514729133915498,-1.5930492623872583,NEUTRAL
Staphylococcus capitis,0.30524794263151,0.55113265340809,-3.3494681536593944,NEUTRAL
Acinetobacter towneri,0.303663341597679,0.55113265340809,-1.6554017501352192,NEUTRAL
Dietzia timorensis,0.33941771337231,0.587246519961616,-1.7005127610533073,NEUTRAL
Paracoccus sp  Arc7 R13,0.358742356134545,0.60624677238241,0.0320866679146174,NEUTRAL
Pseudomonas mendocina,0.3852176276909,0.622296743488316,-1.3025925589532443,NEUTRAL
Rheinheimera sp  LHK132,0.406522561941753,0.639987501430968,-2.396524052088819,NEUTRAL
Kytococcus sedentarius,0.426851559944779,0.649478413793207,-0.0375338756750727,NEUTRAL
Corynebacterium xerosis,0.426064453024818,0.649478413793207,-0.5738758368348016,NEUTRAL
Microbacterium aurum,0.446623651576641,0.662339837032025,-0.1221257018934487,NEUTRAL
Micrococcus sp  KBS0714,0.453547602913393,0.668063361048107,-1.6351712503154603,NEUTRAL
Kocuria palustris,0.468115806659993,0.676559897545163,-0.2805786645583019,NEUTRAL
Aspergillus fumigatus,0.477158344796356,0.684345520826353,-0.8810417038330289,NEUTRAL
Brachybacterium saurashtrense,0.542541621380172,0.730607629334723,-0.3721427277087139,NEUTRAL
Sphingobium yanoikuyae,0.566112937475212,0.757132640304271,-0.4574174941330717,NEUTRAL
Pseudomonas aeruginosa,0.587852135801264,0.774434158175491,-0.518735498006226,NEUTRAL
Aspergillus oryzae,0.594763004299783,0.774434158175491,-0.6428740476286379,NEUTRAL
Corynebacterium jeikeium,0.661848219358086,0.843759718245981,-0.7922177239030521,NEUTRAL
Rothia mucilaginosa,0.73002486070509,0.880086616469437,-1.817412211255176,NEUTRAL
Comamonas aquatica,0.728079255039937,0.880086616469437,-0.8944786451287623,NEUTRAL
Massilia oculi,0.738447895345341,0.88447392732845,-1.3514531044030749,NEUTRAL
Pseudomonas alcaligenes,0.87115846848602,0.930943853578198,-0.4629334852737541,NEUTRAL
Acinetobacter sp  ACNIH1,0.889570739131336,0.94598254210064,-0.9538745724177904,NEUTRAL
Corynebacterium minutissimum,0.916107581934329,0.964789627351129,-1.1198402212245142,NEUTRAL
