feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Ornithinimicrobium.flavum	is_kiosk	Kiosk	0.00408920448621335	0.000452839856224062	41	41	5.37328776752523e-11	5.3120090248028e-10
Phycicoccus.sp..HDW14	is_kiosk	Kiosk	0.00258688805767704	0.000285500043514875	41	41	4.91440403562077e-11	5.3120090248028e-10
Exiguobacterium.mexicanum	is_kiosk	Kiosk	0.00270390296035119	0.000299310846213099	41	41	5.48248927691142e-11	5.3120090248028e-10
Ornithinimicrobium.sp..HY006	is_kiosk	Kiosk	0.00216024640691276	0.000242700469502555	41	41	7.8282742451105e-11	7.11068243930871e-10
Nocardioides.sp..JS614	is_kiosk	Kiosk	0.00244698026295939	0.000276893964274861	41	41	9.98235241103999e-11	8.56708918418883e-10
Paracoccus.sp..AK26	is_kiosk	Kiosk	0.0120319705662455	0.00136574851810011	41	41	1.02176293022436e-10	8.56708918418883e-10
Nocardioides.sp..R.3366	is_kiosk	Kiosk	0.00236419066047862	0.000269318564408085	41	41	1.23250720494348e-10	9.95135446954367e-10
Geodermatophilus.obscurus	is_kiosk	Kiosk	0.00778862051267289	0.00083199171172918	41	41	1.32336363828263e-10	1.03033311837719e-09
Tessaracoccus.sp..T2.5.30	is_kiosk	Kiosk	0.00450556054355394	0.000518888594345975	41	41	1.48257015636299e-10	1.11448377271425e-09
Serinicoccus.sp..JLT9	is_kiosk	Kiosk	0.00192769167568413	0.000224021425606258	41	41	1.86704517485137e-10	1.35671949372533e-09
Serinicoccus.profundi	is_kiosk	Kiosk	0.00254344516370386	0.000304455529671101	41	41	3.9327927822836e-10	2.73237332173953e-09
Serinicoccus.chungangensis	is_kiosk	Kiosk	0.00231006204010826	0.000276737154883239	41	41	4.01082322457178e-10	2.73237332173953e-09
Paracoccus.yeei	is_kiosk	Kiosk	0.0040461404258149	0.000523711883390815	41	41	3.3215609245446e-09	2.19424327742644e-08
Janibacter.melonis	is_kiosk	Kiosk	0.00347030310936447	0.000464301114567815	41	41	5.66412890558113e-09	3.63170618063732e-08
Chryseobacterium.taklimakanense	is_kiosk	Kiosk	0.00177316243645792	0.000246659523264207	41	41	1.36811840011489e-08	8.52142317785849e-08
Serinicoccus.marinus	is_kiosk	Kiosk	0.00204447905047202	0.000299487299260204	41	41	4.22504601447419e-08	2.55850008654271e-07
Chroococcidiopsis.thermalis	is_kiosk	Kiosk	0.00529941445012783	0.000803275346720498	41	41	1.17211993597457e-07	6.90600394709343e-07
Lysobacter.oculi	is_kiosk	Kiosk	0.00180338092834161	0.000298653751083172	41	41	5.04303329843259e-07	2.89310857646922e-06
Brevundimonas.naejangsanensis	is_kiosk	Kiosk	0.00150594408981388	0.000250306992954375	41	41	5.40555174565458e-07	3.02156482193e-06
Cutibacterium.acnes	is_kiosk	Kiosk	-0.050312860959978	0.00868526115044887	41	41	1.09516004749743e-06	5.96862225886099e-06
Malassezia.restricta	is_kiosk	Kiosk	-0.0127488117051145	0.00249351005416081	41	41	9.99746578461046e-06	5.31572570986605e-05
Escherichia.coli	is_kiosk	Kiosk	0.00172733493399936	0.000352576996080583	41	41	1.8480526998891e-05	9.59227353751961e-05
Paracoccus.sanguinis	is_kiosk	Kiosk	0.00501735294348479	0.00101453351306648	41	41	2.00888868334163e-05	0.000101845984411273
Dietzia.lutea	is_kiosk	Kiosk	0.00121660376964961	0.000251486124611889	41	41	2.26513541321641e-05	0.000112227163654813
Brachybacterium.avium	is_kiosk	Kiosk	0.0010555193168372	0.000219219221803257	41	41	2.36295379006749e-05	0.000112847980397234
Thermomonas.sp..SY21	is_kiosk	Kiosk	0.00223551459323121	0.000464529629544997	41	41	2.38119591663889e-05	0.000112847980397234
Stenotrophomonas.acidaminiphila	is_kiosk	Kiosk	0.00140878239204326	0.00030066758299096	41	41	3.52785160497842e-05	0.000163632265933041
Corynebacterium.segmentosum	is_kiosk	Kiosk	-0.00257392954570959	0.000582813104831282	41	41	8.11265404849069e-05	0.000360930322973667
Aspergillus.oryzae	Year_categorical	Batch_2	-0.00297210636151022	0.000672825631819218	41	41	8.03754531627295e-05	0.000360930322973667
Staphylococcus.haemolyticus	is_kiosk	Kiosk	0.00102685234473087	0.000235100502835591	41	41	9.34928507481954e-05	0.000407628829262132
Brachybacterium.vulturis	is_kiosk	Kiosk	0.000995797871039696	0.000236343887222772	41	41	0.000149195891886409	0.000637739302573279
Luteimonas.sp..YGD11.2	is_kiosk	Kiosk	0.00116172314699452	0.000273402477957827	41	41	0.000232863664333624	0.000976236131244809
Aspergillus.fumigatus	Year_categorical	Batch_2	-0.00193385839909874	0.000479513892461024	41	41	0.000256052357691919	0.00105319649012903
Gordonia.sp..JH63	is_kiosk	Kiosk	0.00149781680016702	0.000387955581945859	41	41	0.000500126426615509	0.0020190289074478
Serinicoccus.profundi	Year_categorical	Batch_2	0.00113022178771848	0.000298764270276261	41	41	0.000534556577430949	0.00211878788872631
Gordonia.terrae	is_kiosk	Kiosk	0.0019045806346006	0.000509268317604356	41	41	0.000687629363240026	0.00267684287832724
Cloacibacterium.normanense	is_kiosk	Kiosk	0.0024223417649465	0.00066110906691676	41	41	0.000754384672827436	0.0028851905030944
Acinetobacter.junii	is_kiosk	Kiosk	-0.00845848471930456	0.00235690290644231	41	41	0.000936112164366532	0.00351849054882593
Staphylococcus.epidermidis	is_kiosk	Kiosk	-0.00120729389719761	0.000342052796342667	41	41	0.00110821893555434	0.00409477505001435
Dietzia.sp..oral.taxon.368	is_kiosk	Kiosk	0.00107951778428621	0.000316701095617811	41	41	0.00156616096890835	0.00569038485370033
Staphylococcus.saprophyticus	Year_categorical	Batch_2	-0.00224248828895133	0.000674989547507479	41	41	0.00198220956828544	0.00708396206370861
Brevibacterium.luteolum	is_kiosk	Kiosk	0.00081686766276038	0.000247439021928301	41	41	0.00215819097205134	0.00758847793398696
Staphylococcus.arlettae	Year_categorical	Batch_2	-0.0048617658701321	0.00148045787178903	41	41	0.00220343551519974	0.00762458638592927
Ornithinimicrobium.flavum	Year_categorical	Batch_2	0.00139463662240334	0.0004443748134348	41	41	0.00327792014576324	0.011165415496506
Stenotrophomonas.maltophilia	is_kiosk	Kiosk	0.00113032275334343	0.000373325876036579	41	41	0.0044100671644416	0.0147906867976657
Cutibacterium.granulosum	is_kiosk	Kiosk	-0.00125425138702098	0.000416679216563225	41	41	0.0046209136197306	0.0152630177136556
Staphylococcus.arlettae	is_kiosk	Kiosk	-0.00440275223782285	0.00150865960342077	41	41	0.00588319034928662	0.0191423208379774
Brachybacterium.sp..P6.10.X1	is_kiosk	Kiosk	0.000827706118389606	0.000287579284940525	41	41	0.00653105315834065	0.020937788066445
Staphylococcus.hominis	is_kiosk	Kiosk	-0.00152306050161405	0.000531506687079532	41	41	0.00674836309754164	0.0213209152936823
Acinetobacter.schindleri	Year_categorical	Batch_2	0.0021068347658464	0.000739270466449598	41	41	0.0073129203302109	0.0227745233140854
Micrococcus.luteus	is_kiosk	Kiosk	-0.0168443253558045	0.00594343958205818	41	41	0.00755868005801486	0.0232083415865809
Serinicoccus.marinus	Year_categorical	Batch_2	0.00082284443403322	0.000293888912174276	41	41	0.00799182827870982	0.0241974800660936
Acinetobacter.indicus	is_kiosk	Kiosk	-0.00777043631950936	0.00282683934037999	41	41	0.00910159648098379	0.0271801100391023
Brevibacterium.sp..CS2	is_kiosk	Kiosk	-0.00141684304718692	0.000560063263241584	41	41	0.0157586796667088	0.0464242184776015
