resistance_mechanism,RPKM,Sample
antibiotic efflux,3.536204483,368257238
antibiotic inactivation,5.40558227,368257238
antibiotic efflux,6.681235903,368257238
antibiotic efflux,4.467335249,368257238
antibiotic efflux,7.568718367,368257238
antibiotic efflux,3.793867623,368257238
antibiotic efflux,13.49446236,368257238
antibiotic efflux,10.84740887,368257238
antibiotic efflux,2.184126298,368257238
antibiotic inactivation,5.392711836,368257238
antibiotic target alteration; antibiotic target replacement,48.03825849,368257238
antibiotic inactivation,5.451116658,368257238
reduced permeability to antibiotic,4.026558171,368257238
antibiotic inactivation,5.11850615,368257238
antibiotic inactivation,9.49659946,368257238
antibiotic efflux,3.511533289,368257238
antibiotic efflux,6.50844532,368257238
reduced permeability to antibiotic,4.026558171,368257238
antibiotic target alteration,7.878048596,368257238
antibiotic target alteration,8.20630062,368257238
antibiotic efflux,3.856856486,368257238
antibiotic inactivation,5.242914285,368257238
antibiotic inactivation,4.870836497,368257238
antibiotic target alteration,1.473131038,368257238
antibiotic target alteration; antibiotic target replacement,56.60757328,368257238
antibiotic target alteration,5.719542857,368257238
antibiotic target protection,3.132695673,368257238
antibiotic inactivation,3.656075821,368257238
antibiotic inactivation,0.670519403,368257968
antibiotic target protection,10.487087,368257968
antibiotic inactivation,1.912396888,368257968
antibiotic efflux,0.222135262,368257968
antibiotic inactivation,172.0197669,368257968
antibiotic inactivation,0.619529334,368257968
antibiotic efflux,0.732532758,368257968
antibiotic inactivation,0.772209549,368257968
antibiotic efflux,2.727462112,368257968
antibiotic efflux,0.768567051,368257968
antibiotic efflux,2.201840742,368257968
antibiotic target protection,2.803873678,368257968
antibiotic efflux,0.961275604,368257968
antibiotic efflux,0.258628912,368257968
antibiotic inactivation,0.284356396,368257968
antibiotic target protection,0.219442714,368257968
antibiotic inactivation,0.490771732,368257968
antibiotic efflux,3.024976141,368257968
antibiotic inactivation,8.586099558,368257968
antibiotic efflux,3.559564948,368257968
antibiotic efflux,1.624720091,368257968
antibiotic inactivation,0.196072461,368257968
antibiotic efflux,5.483937329,368257968
antibiotic efflux,1.081435054,368257968
antibiotic efflux,0.391673593,368257968
antibiotic target replacement,6.870804242,368257968
antibiotic target protection,0.496000654,368257968
antibiotic inactivation,0.712289464,368257968
antibiotic efflux,1.61271477,368257968
antibiotic efflux,3.818817536,368257968
antibiotic efflux,5.894333355,368257968
antibiotic efflux,1.558133202,368257968
antibiotic target protection,4.582581043,368257968
antibiotic efflux,0.317614454,368257968
antibiotic efflux,1.458795312,368257968
antibiotic efflux,2.636508331,368257968
antibiotic target protection,0.62308304,368257968
antibiotic efflux,2.962476634,368257968
antibiotic target replacement,1.374989155,368257968
antibiotic efflux,1.080069606,368257968
antibiotic inactivation,0.197498442,368257968
antibiotic inactivation,0.601240645,368257968
antibiotic target alteration,1.017079993,368257968
antibiotic efflux,3.384888316,368257968
antibiotic efflux,2.558598663,368257968
antibiotic target replacement,0.370730864,368257968
antibiotic target alteration,0.297328859,368257968
antibiotic efflux,0.24575598,368257968
antibiotic inactivation,0.405313967,368257968
antibiotic inactivation,1.607923173,368257968
antibiotic inactivation,4.622303968,368257968
antibiotic inactivation,0.375862087,368257968
antibiotic inactivation,18.35634476,368257968
antibiotic efflux,1.513016405,368257968
antibiotic inactivation,2.233915542,368257968
antibiotic efflux,0.366973457,368257968
antibiotic efflux,2.831435014,368257968
antibiotic efflux,7.199871166,368257968
antibiotic target alteration,6.428775825,368257968
antibiotic target alteration,11.55575992,368257968
antibiotic inactivation,0.754334328,368257968
antibiotic target replacement,0.438000578,368257968
antibiotic target alteration,48.9761488,368257968
antibiotic target replacement,14.37672484,368257968
antibiotic inactivation,1.00951806,368257968
antibiotic efflux,0.266889787,368257968
antibiotic efflux,0.692756016,368257968
antibiotic target alteration,0.97733805,368257968
antibiotic inactivation,0.369469875,368257968
antibiotic efflux,0.23210287,368257968
antibiotic inactivation,0.533779574,368257968
antibiotic inactivation,0.202656984,368257968
antibiotic inactivation,26.86403543,368257968
antibiotic efflux,3.34624138,368257968
antibiotic target replacement,19.39716844,368257968
antibiotic inactivation,0.966406968,368257968
antibiotic efflux,1.44832191,368257968
antibiotic inactivation,0.359682594,368257968
antibiotic efflux,2.605882224,368257968
antibiotic efflux,3.402684005,368257968
antibiotic efflux,1.939716844,368257968
antibiotic inactivation,0.822910176,368257968
antibiotic target protection,38.540468,368257968
antibiotic efflux,8.464218954,368257968
antibiotic target alteration,0.646572281,368257968
antibiotic target protection,3.478112961,368257968
antibiotic inactivation,2.158095561,368257968
antibiotic efflux,4.722788837,368257968
antibiotic efflux,2.430306707,368257968
antibiotic efflux,1.495883329,368257968
antibiotic inactivation,0.796754107,368257968
antibiotic efflux,0.547224903,368257968
antibiotic efflux,1.323393558,368257968
antibiotic efflux,0.181342476,368257968
antibiotic target replacement,2.110783053,368257968
antibiotic target protection,1.155575992,368257968
antibiotic efflux,1.841087174,368257968
antibiotic inactivation,9.837658256,368257968
antibiotic efflux,0.676083879,368257968
antibiotic efflux,0.131506227,368257968
antibiotic efflux,20.22847566,368257968
antibiotic efflux,0.48384919,368257968
antibiotic inactivation,2.440991983,368257968
antibiotic inactivation,0.411455088,368257968
antibiotic target replacement,2.682077611,368257968
antibiotic target protection,4.250509953,368257968
antibiotic efflux,1.622036821,368257968
antibiotic efflux,1.263071433,368257968
antibiotic efflux,1.416836651,368257968
antibiotic inactivation,0.816722882,368257968
antibiotic efflux,2.344405969,368257968
antibiotic efflux,0.292787448,368257968
antibiotic efflux,0.577229747,368257968
antibiotic efflux,0.844229093,368257968
antibiotic inactivation,0.142551369,368257968
antibiotic inactivation,0.252614287,368257968
antibiotic inactivation,1.645820352,368257968
antibiotic target alteration,0.872483078,368257968
antibiotic efflux,9.681717116,368257968
antibiotic efflux,3.359509585,368257968
antibiotic inactivation,3.333231833,368257968
antibiotic target replacement,0.241386985,368257968
antibiotic inactivation,0.183486728,368257968
antibiotic inactivation,1.100920371,368257968
antibiotic inactivation,11.70260107,368257968
antibiotic efflux,2.236991456,368257968
antibiotic efflux,0.163344576,368257968
antibiotic inactivation,0.246873053,368257968
antibiotic target alteration,1.802210521,368257968
antibiotic inactivation,0.714632521,368257968
antibiotic target protection,0.33839297,368257968
antibiotic efflux,2.127689404,368257968
antibiotic efflux; reduced permeability to antibiotic,1.303489719,368257968
antibiotic efflux,0.552794622,368257968
antibiotic inactivation,0.208892583,368257968
antibiotic inactivation,0.285853009,368257968
antibiotic efflux,0.927279272,368257968
antibiotic inactivation,0.392144921,368257968
antibiotic target alteration,0.445180915,368257968
antibiotic efflux,0.416716662,368257968
antibiotic inactivation,3.274131977,368257968
antibiotic inactivation,0.579844181,368257968
antibiotic inactivation,5.392687963,368257968
antibiotic efflux,1.141227866,368257968
antibiotic target protection,0.992001308,368257968
antibiotic inactivation,1.879310437,368257968
antibiotic target protection,1.612389626,368257968
antibiotic target alteration,1.982192395,368257968
antibiotic inactivation,26.95337883,368257968
antibiotic efflux,1.058714846,368257968
antibiotic inactivation,0.33734206,368257968
antibiotic efflux,0.562819395,368257968
antibiotic efflux; reduced permeability to antibiotic,0.848626119,368257968
antibiotic inactivation,1.316656282,368257968
antibiotic efflux,0.813663994,368257968
antibiotic efflux,8.196091038,368257968
antibiotic efflux,0.511172439,368257968
antibiotic efflux,0.564281264,368257968
antibiotic efflux,3.72425634,368257968
antibiotic target replacement,2.062483733,368257968
antibiotic inactivation,49.30457566,368257968
antibiotic inactivation,1.02863772,368257968
antibiotic target replacement,1.374989155,368257968
antibiotic efflux,0.397018067,368257968
antibiotic inactivation,34.39764536,368257968
antibiotic efflux,1.057403164,368257968
antibiotic inactivation,0.816722882,368257968
antibiotic efflux,1.014317127,368257968
antibiotic inactivation,6.218939499,368257968
antibiotic efflux,0.814681074,368257968
antibiotic efflux,0.266235645,368257968
antibiotic target alteration,0.168148829,368257968
antibiotic efflux,3.08591316,368257968
antibiotic target protection,0.169725224,368257968
antibiotic efflux,2.459011117,368257968
antibiotic efflux,8.545998848,368257968
antibiotic efflux,0.703524244,368257968
antibiotic efflux,3.246357222,368257968
antibiotic efflux,4.427614535,368257968
antibiotic efflux,12.22815648,368257968
antibiotic efflux,1.728766206,368257968
antibiotic efflux,9.753787151,368257968
antibiotic efflux,0.662342337,368257968
antibiotic efflux,0.140704849,368257968
antibiotic inactivation,0.794036135,368257968
antibiotic target protection,10.40558382,368257968
antibiotic inactivation,3.129848195,368257968
antibiotic efflux,2.662356452,368257968
antibiotic efflux,10.3292897,368257968
antibiotic target alteration,2.111069922,368257968
antibiotic target protection,1.019945007,368257968
antibiotic efflux,0.670519403,368257968
antibiotic inactivation,3.645105478,368257968
antibiotic inactivation,1.272939179,368257968
antibiotic efflux,0.961275604,368257968
antibiotic inactivation,1.513925341,368257968
antibiotic inactivation,1.419923441,368257968
antibiotic efflux,12.99685761,368257968
antibiotic inactivation,3.848886965,368257968
antibiotic efflux,1.188561035,368257968
antibiotic inactivation,3.125874626,368257968
antibiotic efflux,0.745277141,368257968
antibiotic inactivation,0.507589454,368257968
antibiotic inactivation,2.011558208,368257968
antibiotic target protection,1.263071433,368257968
antibiotic inactivation,4.337422387,368257968
antibiotic efflux,3.434252772,368257968
antibiotic inactivation,1.551773475,368257968
antibiotic efflux,13.93849626,368257968
antibiotic efflux,0.187283006,368257968
antibiotic efflux,2.54797373,368257968
antibiotic efflux,3.809463942,368257968
antibiotic efflux,0.321373205,368257968
antibiotic efflux,5.871575311,368257968
antibiotic efflux,0.272240961,368257968
antibiotic efflux,0.818774949,368257968
antibiotic efflux,0.808616451,368257968
antibiotic efflux,0.236653907,368257968
antibiotic efflux,11.70034281,368257968
antibiotic efflux,4.805389053,368257968
antibiotic inactivation,0.89036183,368257968
antibiotic efflux,8.375712195,368257968
antibiotic efflux,3.980441122,368257968
antibiotic inactivation,1.343408132,368257968
antibiotic inactivation,0.345936762,368257968
antibiotic efflux,3.067836682,368257968
antibiotic inactivation,1.215941902,368257968
antibiotic inactivation,3.520226865,368257968
antibiotic efflux,1.591173973,368257968
antibiotic target alteration; antibiotic efflux,4.497177905,368257968
antibiotic inactivation,1.551773475,368257968
antibiotic efflux,1.638726299,368257968
antibiotic efflux,4.465428451,368257968
antibiotic target alteration; antibiotic target replacement,53.14457223,368257968
antibiotic target replacement,2.451586566,368257968
antibiotic target protection,1.018351343,368257968
antibiotic inactivation,1.293144562,368257968
antibiotic inactivation,0.502889552,368257968
antibiotic inactivation,3.520226865,368257968
antibiotic inactivation,1.25722388,368257968
antibiotic inactivation,3.838308949,368257968
antibiotic inactivation,2.686816264,368257968
antibiotic inactivation,1.764652147,368257968
antibiotic inactivation,0.284356396,368257968
reduced permeability to antibiotic,1.44832191,368257968
antibiotic inactivation,10.12597946,368257968
antibiotic inactivation,0.365737856,368257968
antibiotic inactivation,12.4678655,368257968
antibiotic target alteration,4.177851663,368257968
antibiotic efflux,0.631535717,368257968
antibiotic efflux,1.123698034,368257968
antibiotic efflux,0.330499422,368257968
antibiotic efflux,0.448860096,368257968
antibiotic efflux,0.987492211,368257968
antibiotic efflux,0.416716662,368257968
antibiotic efflux,0.978595885,368257968
antibiotic efflux,13.10981039,368257968
antibiotic inactivation,0.274303392,368257968
antibiotic efflux,0.961275604,368257968
antibiotic efflux,1.475142686,368257968
reduced permeability to antibiotic,3.620804775,368257968
antibiotic target replacement,0.434496573,368257968
reduced permeability to antibiotic,1.183914368,368257968
antibiotic target alteration,0.983914341,368257968
antibiotic efflux,1.109825218,368257968
antibiotic target alteration; antibiotic efflux,1.382946268,368257968
antibiotic efflux; reduced permeability to antibiotic,1.392617221,368257968
antibiotic efflux,0.876001155,368257968
antibiotic efflux,10.76455474,368257968
antibiotic target alteration,1.112952287,368257968
antibiotic inactivation,0.568712792,368257968
antibiotic inactivation,0.142178198,368257968
antibiotic inactivation,0.282875373,368257968
antibiotic inactivation,0.284356396,368257968
antibiotic inactivation,0.287365458,368257968
antibiotic inactivation,0.188583582,368257968
antibiotic inactivation,0.282875373,368257968
antibiotic inactivation,1.024756068,368257968
antibiotic inactivation,0.197498442,368257968
antibiotic inactivation,0.203415999,368257968
antibiotic inactivation,0.819804855,368257968
antibiotic inactivation,0.268207761,368257968
antibiotic inactivation,0.351534444,368257968
antibiotic inactivation,1.051201386,368257968
antibiotic inactivation,0.378481335,368257968
antibiotic inactivation,0.698547545,368257968
antibiotic inactivation,1.660919622,368257968
antibiotic efflux,7.543343281,368257968
antibiotic efflux,12.5722388,368257968
antibiotic efflux,1.204501588,368257968
antibiotic efflux,2.214666998,368257968
antibiotic efflux,1.274931259,368257968
antibiotic target alteration,21.17582576,368257968
antibiotic target alteration,1.271697287,368257968
antibiotic inactivation,2.688716417,368257968
antibiotic efflux,0.693767338,368257968
antibiotic inactivation,0.448860096,368257968
antibiotic target alteration; antibiotic target replacement,62.22781585,368257968
antibiotic target protection,0.597931064,368257968
antibiotic target alteration,6.266777495,368257968
antibiotic inactivation,4.573648137,368257968
antibiotic target protection,1.018351343,368257968
antibiotic target protection,1.357801791,368257968
antibiotic target protection,0.42431306,368257968
antibiotic inactivation,0.339450448,368257968
antibiotic target protection,2.854576379,368257968
antibiotic inactivation,1.456645599,368257968
antibiotic efflux,0.34483855,368257968
antibiotic target protection,3.775822467,368258054
antibiotic inactivation,216.8400902,368258054
antibiotic efflux,0.536908859,368258054
antibiotic efflux,5.272960807,368258054
antibiotic efflux,0.350510312,368258054
antibiotic inactivation,4.476396756,368258054
antibiotic inactivation,2.048938956,368258054
antibiotic target alteration,2.16012169,368258054
antibiotic target replacement,1.119099189,368258054
antibiotic target replacement,2.279392213,368258054
antibiotic efflux,2.902663521,368258054
antibiotic efflux,4.032227155,368258054
antibiotic inactivation,0.746066126,368258054
antibiotic efflux,1.903385916,368258054
antibiotic target protection,4.644261634,368258054
antibiotic efflux,0.7214387,368258054
antibiotic efflux,1.22794453,368258054
antibiotic target alteration,1.016991599,368258054
antibiotic efflux,1.681180682,368258054
antibiotic target protection,1.706926175,368258054
antibiotic inactivation,14.88752858,368258054
antibiotic efflux,2.322130817,368258054
antibiotic efflux,1.962992429,368258054
antibiotic target protection,0.864048676,368258054
antibiotic inactivation,0.488869646,368258054
antibiotic efflux,3.521714983,368258054
antibiotic efflux,4.46134643,368258054
antibiotic target alteration,3.952563093,368258054
antibiotic target alteration,5.866435748,368258054
antibiotic target replacement,7.512776173,368258054
antibiotic efflux,0.329380258,368258054
antibiotic target alteration,1.432677111,368258054
antibiotic inactivation,3.159361656,368258054
antibiotic target alteration,1.516493595,368258054
antibiotic inactivation,0.91287698,368258054
antibiotic inactivation,1.997531886,368258054
antibiotic efflux,0.880428746,368258054
antibiotic target replacement,13.26931895,368258054
antibiotic efflux,2.300015285,368258054
antibiotic inactivation,1.42900358,368258054
antibiotic efflux,0.926535987,368258054
antibiotic efflux,0.938234674,368258054
antibiotic inactivation,2.682605998,368258054
antibiotic target protection,10.52394262,368258054
antibiotic efflux,2.692325585,368258054
antibiotic efflux,4.698474805,368258054
antibiotic inactivation,0.908413034,368258054
antibiotic target protection,1.159254074,368258054
antibiotic efflux,1.08637699,368258054
antibiotic efflux,0.620268666,368258054
antibiotic target replacement,0.555367609,368258054
antibiotic target protection,4.517214963,368258054
antibiotic efflux,1.049550652,368258054
antibiotic efflux,2.369521242,368258054
antibiotic efflux,2.505574677,368258054
antibiotic efflux,1.615395351,368258054
antibiotic efflux,1.336478168,368258054
antibiotic efflux,1.502187051,368258054
antibiotic efflux,1.076930234,368258054
antibiotic efflux,2.887623814,368258054
antibiotic inactivation,0.967554507,368258054
antibiotic inactivation,2.814704021,368258054
antibiotic target alteration,1.492132252,368258054
antibiotic inactivation,2.052712324,368258054
antibiotic efflux,2.491174823,368258054
antibiotic efflux,0.83806225,368258054
antibiotic inactivation,0.844411206,368258054
antibiotic target alteration,2.241574243,368258054
antibiotic inactivation,0.488869646,368258054
antibiotic efflux,0.950232559,368258054
antibiotic inactivation,5.928844639,368258054
antibiotic efflux,1.419449592,368258054
antibiotic target alteration,2.033983197,368258054
antibiotic inactivation,4.159040269,368258054
antibiotic efflux,6.742385562,368258054
antibiotic efflux,2.622641864,368258054
antibiotic target replacement,3.527287317,368258054
antibiotic inactivation,37.54934938,368258054
antibiotic inactivation,5.629408041,368258054
antibiotic inactivation,2.476939538,368258054
antibiotic inactivation,2.127142733,368258054
antibiotic inactivation,1.333280852,368258054
antibiotic target alteration,0.57514076,368258054
antibiotic target protection,1.161065408,368258054
antibiotic efflux,1.935109014,368258054
antibiotic efflux,3.108364086,368258054
antibiotic efflux,6.153887051,368258054
antibiotic efflux,3.172550642,368258054
antibiotic efflux,11.76908406,368258054
antibiotic efflux,4.193052702,368258054
antibiotic inactivation,3.778382346,368258054
antibiotic efflux,4.931959257,368258054
antibiotic inactivation,1.46275957,368258054
antibiotic efflux,0.707023655,368258054
antibiotic efflux,1.274582953,368258054
antibiotic inactivation,1.760857492,368258054
antibiotic inactivation,7.740436057,368258054
antibiotic inactivation,0.886732532,368258054
antibiotic efflux,15.61787098,368258054
antibiotic efflux,3.669540056,368258054
antibiotic efflux,5.020823388,368258054
antibiotic efflux,0.931180277,368258054
antibiotic efflux,0.809457365,368258054
antibiotic efflux,10.66039359,368258054
antibiotic efflux,5.872054939,368258054
antibiotic efflux,3.941128484,368258054
antibiotic efflux,5.805327042,368258054
antibiotic efflux,3.729617373,368258054
antibiotic efflux,1.355988798,368258054
antibiotic inactivation,0.711764235,368258054
antibiotic target alteration; antibiotic target replacement,38.33612355,368258054
antibiotic inactivation,1.341302999,368258054
antibiotic inactivation,1.863917713,368258054
antibiotic inactivation,3.138014618,368258054
reduced permeability to antibiotic,0.990775815,368258054
antibiotic inactivation,9.445955866,368258054
antibiotic inactivation,3.752938694,368258054
antibiotic target alteration,1.993958483,368258054
antibiotic efflux,6.575945676,368258054
antibiotic efflux,2.752155042,368258054
reduced permeability to antibiotic,1.012373108,368258054
antibiotic inactivation,2.752155042,368258054
antibiotic efflux,3.347215592,368258054
antibiotic inactivation,0.611087057,368258054
antibiotic inactivation,1.290072676,368258054
antibiotic inactivation,1.263744662,368258054
antibiotic inactivation,0.917385014,368258054
antibiotic inactivation,4.181328802,368258054
antibiotic inactivation,2.840526993,368258054
antibiotic inactivation,1.238469769,368258054
antibiotic target alteration,0.972620237,368258054
antibiotic target alteration,0.265766045,368258054
antibiotic efflux,1.123611686,368258054
antibiotic target alteration,9.724446743,368258054
antibiotic target alteration; antibiotic target replacement,34.74392865,368258054
antibiotic target protection,0.681726478,368258054
antibiotic target protection,1.70744913,368258054
antibiotic target alteration,7.145017898,368258054
antibiotic efflux,0.933519926,368258054
antibiotic target protection,0.580532704,368258054
antibiotic target protection,0.580532704,368258054
antibiotic target protection,5.395822645,368258054
antibiotic inactivation,2.460535965,368258054
antibiotic inactivation,1.42352847,368258054
antibiotic inactivation,5.149525749,368259600
antibiotic target protection,5.36932258,368259600
antibiotic efflux,0.568659285,368259600
antibiotic target protection,1.269746075,368259600
antibiotic inactivation,285.825593,368259600
antibiotic target alteration,1.455886861,368259600
antibiotic efflux,1.607366419,368259600
antibiotic efflux,3.642895945,368259600
antibiotic efflux,2.623343306,368259600
antibiotic efflux,2.818321525,368259600
antibiotic inactivation,0.968900315,368259600
antibiotic target protection,0.531690995,368259600
antibiotic efflux,0.922813243,368259600
antibiotic inactivation,0.503757954,368259600
antibiotic efflux,3.167936094,368259600
antibiotic inactivation,12.77915397,368259600
antibiotic efflux,8.5244792,368259600
antibiotic efflux,1.426022515,368259600
antibiotic efflux,6.535936528,368259600
antibiotic efflux,1.349875682,368259600
antibiotic efflux,1.035016342,368259600
antibiotic efflux,3.008016243,368259600
antibiotic target replacement,9.213308118,368259600
antibiotic target protection,0.634873038,368259600
antibiotic efflux,1.121267703,368259600
antibiotic efflux,2.130838241,368259600
antibiotic efflux,7.241520585,368259600
antibiotic target protection,2.606947411,368259600
antibiotic efflux,0.813083013,368259600
antibiotic efflux,0.789984064,368259600
antibiotic target alteration,1.041477118,368259600
antibiotic efflux,4.463894842,368259600
antibiotic efflux,2.679517681,368259600
antibiotic target alteration,1.268587548,368259600
antibiotic inactivation,2.286795974,368259600
antibiotic inactivation,0.94583126,368259600
antibiotic target replacement,1.487028826,368259600
antibiotic inactivation,45.53831481,368259600
antibiotic efflux,2.537662545,368259600
antibiotic target protection,1.293369258,368259600
antibiotic inactivation,0.899917121,368259600
antibiotic efflux,0.536823148,368259600
antibiotic efflux,2.635776213,368259600
antibiotic efflux,9.616405434,368259600
antibiotic target alteration,4.539990048,368259600
antibiotic target alteration,5.423436693,368259600
antibiotic target alteration,25.85603981,368259600
antibiotic target replacement,7.667492384,368259600
antibiotic target alteration,0.357422096,368259600
antibiotic efflux,1.188352096,368259600
antibiotic inactivation,1.366458921,368259600
antibiotic inactivation,0.518795505,368259600
antibiotic inactivation,19.93364806,368259600
antibiotic efflux,1.324163764,368259600
antibiotic efflux,1.97683216,368259600
antibiotic target replacement,9.434666819,368259600
antibiotic efflux,1.85382927,368259600
antibiotic inactivation,0.920776127,368259600
antibiotic efflux,3.511040284,368259600
antibiotic efflux,12.39608729,368259600
antibiotic inactivation,1.053312085,368259600
antibiotic target protection,8.245559635,368259600
antibiotic efflux,8.351260103,368259600
antibiotic efflux,0.683229461,368259600
antibiotic target protection,1.369824584,368259600
antibiotic inactivation,0.920776127,368259600
antibiotic efflux,3.022547722,368259600
antibiotic efflux,1.758252469,368259600
antibiotic inactivation,1.588996517,368259600
antibiotic efflux,2.101317812,368259600
antibiotic efflux,2.71027671,368259600
antibiotic efflux,0.696346554,368259600
antibiotic target replacement,3.325254295,368259600
antibiotic target protection,0.422605457,368259600
antibiotic efflux,0.785520877,368259600
antibiotic inactivation,6.296023935,368259600
antibiotic efflux,1.730753468,368259600
antibiotic efflux,0.673303609,368259600
antibiotic efflux,14.89684235,368259600
antibiotic efflux,1.548298388,368259600
antibiotic inactivation,1.562215677,368259600
antibiotic target protection,12.09019089,368259600
antibiotic efflux,0.535788806,368259600
antibiotic efflux,1.616711572,368259600
antibiotic inactivation,0.962195123,368259600
antibiotic efflux,0.302254772,368259600
antibiotic efflux,3.000802775,368259600
antibiotic efflux,0.374763329,368259600
antibiotic efflux,0.537341817,368259600
antibiotic efflux,0.720399975,368259600
antibiotic efflux,2.090784891,368259600
antibiotic inactivation,2.10662417,368259600
antibiotic target alteration,3.350293861,368259600
antibiotic efflux,1.791716433,368259600
antibiotic efflux,2.397193021,368259600
antibiotic target alteration,0.838836774,368259600
antibiotic inactivation,0.751552407,368259600
antibiotic efflux,3.440095552,368259600
antibiotic efflux,1.061352635,368259600
antibiotic inactivation,1.069516886,368259600
antibiotic inactivation,1.003878666,368259600
antibiotic inactivation,2.958238196,368259600
antibiotic inactivation,0.505589801,368259600
antibiotic efflux,2.788711652,368259600
antibiotic target protection,1.303473705,368259600
antibiotic inactivation,33.20291229,368259600
antibiotic efflux,1.355138355,368259600
antibiotic efflux,1.440799951,368259600
antibiotic efflux,14.47474143,368259600
antibiotic efflux,5.16423868,368259600
antibiotic target replacement,0.879982248,368259600
antibiotic inactivation,36.97797745,368259600
antibiotic inactivation,1.053312085,368259600
antibiotic efflux,0.813083013,368259600
antibiotic inactivation,7.415317079,368259600
antibiotic efflux,2.596619945,368259600
antibiotic inactivation,5.306763177,368259600
antibiotic target alteration,0.860911426,368259600
antibiotic efflux,18.9988714,368259600
antibiotic efflux,3.429760034,368259600
antibiotic efflux,5.66727698,368259600
antibiotic efflux,28.18687779,368259600
antibiotic efflux,21.28538023,368259600
antibiotic target protection,1.29941304,368259600
antibiotic inactivation,0.471312526,368259600
antibiotic efflux,0.681554879,368259600
antibiotic efflux,1.845626485,368259600
antibiotic efflux,5.410007597,368259600
antibiotic inactivation,7.116076921,368259600
antibiotic efflux,1.064060168,368259600
antibiotic efflux,1.719775012,368259600
antibiotic efflux,2.146371796,368259600
antibiotic inactivation,3.218453593,368259600
antibiotic inactivation,0.658944053,368259600
antibiotic inactivation,1.448304117,368259600
antibiotic inactivation,2.114634148,368259600
antibiotic efflux,8.140351009,368259600
antibiotic inactivation,1.986245646,368259600
antibiotic efflux,39.37336502,368259600
antibiotic efflux,0.686603433,368259600
antibiotic efflux,5.010349378,368259600
antibiotic efflux,0.696928297,368259600
antibiotic target alteration; antibiotic efflux,0.581745587,368259600
antibiotic efflux,33.61482519,368259600
antibiotic efflux,4.005186694,368259600
antibiotic efflux,15.44857725,368259600
antibiotic efflux,5.899360261,368259600
antibiotic inactivation,0.49129751,368259600
antibiotic efflux,2.036109554,368259600
antibiotic inactivation,6.436907187,368259600
antibiotic efflux,3.801798307,368259600
antibiotic inactivation,6.386867625,368259600
antibiotic efflux,2.791377725,368259600
antibiotic target alteration; antibiotic target replacement,38.01704908,368259600
antibiotic target replacement,2.413840195,368259600
antibiotic inactivation,0.522696223,368259600
antibiotic inactivation,1.568088668,368259600
antibiotic inactivation,1.30551357,368259600
antibiotic inactivation,1.965190039,368259600
antibiotic inactivation,1.003878666,368259600
reduced permeability to antibiotic,1.85382927,368259600
antibiotic inactivation,1.011179602,368259600
antibiotic inactivation,3.77050021,368259600
antibiotic inactivation,0.468138704,368259600
antibiotic target alteration,2.984698288,368259600
antibiotic efflux,0.639251472,368259600
antibiotic efflux,1.69213625,368259600
antibiotic efflux,1.777969248,368259600
antibiotic efflux,11.98596511,368259600
antibiotic efflux,1.230417657,368259600
antibiotic efflux,0.686603433,368259600
reduced permeability to antibiotic,4.078424393,368259600
