Sample,Group,AMR Gene Family,Drug Class,RPKM
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic,1.458795
368257968,fluoroquinolone antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,2.636508
368257968,Multi-drug resistance,vga-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,0.623083
368257968,Multi-drug resistance,small multidrug resistance (SMR) antibiotic efflux pump,macrolide antibiotic; aminocoumarin antibiotic,2.962477
368257968,diaminopyrimidine antibiotic,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,1.374989
368257968,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,1.08007
368257968,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,0.197498
368257968,Multi-drug resistance,NDM beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,0.601241
368257968,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,1.01708
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,3.384888
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,2.558599
368257968,penam,methicillin resistant PBP2,penam,0.370731
368257968,peptide antibiotic,pmr phosphoethanolamine transferase,peptide antibiotic,0.297329
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,0.245756
368257968,aminoglycoside antibiotic,AAC(6'),aminoglycoside antibiotic,0.405314
368257968,Multi-drug resistance,AIM beta-lactamase,cephalosporin; cephamycin; penam,1.607923
368257968,penam,BlaZ beta-lactamase,penam,4.622304
368257968,penam,CARB beta-lactamase,penam,0.375862
368257968,Multi-drug resistance,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,18.35634
368257968,aminocoumarin antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,1.513016
368257968,Multi-drug resistance,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,2.233916
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,glycylcycline; tetracycline antibiotic,0.366973
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,2.831435
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,7.199871
368257968,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,6.428776
368257968,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,11.55576
368257968,aminoglycoside antibiotic,ANT(6),aminoglycoside antibiotic,0.754334
368257968,penam,methicillin resistant PBP2,penam,0.438001
368257968,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,48.97615
368257968,sulfonamide antibiotic,sulfonamide resistant sul,sulfonamide antibiotic,14.37672
368257968,aminoglycoside antibiotic,APH(3'),aminoglycoside antibiotic,1.009518
368257968,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,0.26689
368257968,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,0.692756
368257968,peptide antibiotic,pmr phosphoethanolamine transferase,peptide antibiotic,0.977338
368257968,penam,RCP beta-lactamase,penam,0.36947
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,0.232103
368257968,macrolide antibiotic,macrolide esterase,macrolide antibiotic,0.53378
368257968,aminoglycoside antibiotic,APH(3'),aminoglycoside antibiotic,0.202657
368257968,aminoglycoside antibiotic,APH(6),aminoglycoside antibiotic,26.86404
368257968,phenicol antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,3.346241
368257968,sulfonamide antibiotic,sulfonamide resistant sul,sulfonamide antibiotic,19.39717
368257968,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,0.966407
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,1.448322
368257968,rifamycin antibiotic,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,0.359683
368257968,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,2.605882
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,3.402684
368257968,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,1.939717
368257968,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,0.82291
368257968,Multi-drug resistance,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic; streptogramin B antibiotic,38.54047
368257968,aminocoumarin antibiotic,ATP-binding cassette (ABC) antibiotic efflux pump,aminocoumarin antibiotic,8.464219
368257968,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,0.646572
368257968,Multi-drug resistance,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,3.478113
368257968,macrolide antibiotic,macrolide phosphotransferase (MPH),macrolide antibiotic,2.158096
368257968,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic,4.722789
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; aminoglycoside antibiotic,2.430307
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,1.495883
368257968,macrolide antibiotic,macrolide esterase,macrolide antibiotic,0.796754
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,glycylcycline; tetracycline antibiotic,0.547225
368257968,aminocoumarin antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,1.323394
368257968,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,0.181342
368257968,penam,methicillin resistant PBP2,penam,2.110783
368257968,tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,1.155576
368257968,fluoroquinolone antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,1.841087
368257968,aminoglycoside antibiotic,APH(3'),aminoglycoside antibiotic,9.837658
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,0.676084
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; penam,0.131506
368257968,phenicol antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,20.22848
368257968,Multi-drug resistance,multidrug and toxic compound extrusion (MATE) transporter,fluoroquinolone antibiotic; disinfecting agents and antiseptics,0.483849
368257968,aminoglycoside antibiotic,ANT(2''),aminoglycoside antibiotic,2.440992
368257968,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,0.411455
368257968,diaminopyrimidine antibiotic,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,2.682078
368257968,rifamycin antibiotic,RbpA bacterial RNA polymerase-binding protein,rifamycin antibiotic,4.25051
368257968,aminoglycoside antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,1.622037
368257968,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,1.263071
368257968,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,1.416837
368257968,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,0.816723
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,2.344406
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,0.292787
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,0.57723
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,0.844229
368257968,Multi-drug resistance,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,0.142551
368257968,Multi-drug resistance,streptogramin vat acetyltransferase,streptogramin antibiotic; streptogramin A antibiotic,0.252614
368257968,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,1.64582
368257968,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,0.872483
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,9.681717
368257968,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; disinfecting agents and antiseptics,3.35951
368257968,aminoglycoside antibiotic,ANT(6),aminoglycoside antibiotic,3.333232
368257968,penam,methicillin resistant PBP2,penam,0.241387
368257968,Multi-drug resistance,class A LRA beta-lactamase,cephalosporin; penam,0.183487
368257968,cephalosporin,L1 family beta-lactamase,cephalosporin,1.10092
368257968,nucleoside antibiotic,streptothricin acetyltransferase (SAT),nucleoside antibiotic,11.7026
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,2.236991
368257968,lincosamide antibiotic,ATP-binding cassette (ABC) antibiotic efflux pump,lincosamide antibiotic,0.163345
