COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Reference	p_Chennai	N_Reference	N_Chennai
N-acetylglucosaminyl deacetylase, LmbE family (LmbE) (PDB:1Q74)	20.70357143642886	5.361590653369081e-6	4.723944336379116e-4	Reference	COG2120	GC_00003709, GC_00006363	0.85	0	20	11
Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit (AcoB) (PDB:2OZL)	20.70357143642886	5.361590653369081e-6	4.723944336379116e-4	Reference	COG0022	GC_00003711	0.85	0	20	11
16S rRNA G966 N2-methylase RsmD (RsmD) (PDB:2IFT)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG0742	GC_00003563	1	0.2727	20	11
Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins (OmpA) (PDB:1OAP)!!!Outer membrane protein OmpW (OmpW) (PDB:2F1T)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG2885!!!COG3047	GC_00003560	1	0.2727	20	11
Flagellar hook protein FlgE (FlgE) (PDB:3A69)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG1749	GC_00003566, GC_00004015	1	0.2727	20	11
Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids) (YajL) (PDB:5SY4) (PUBMED:19028889;28596309;26678554)!!!Catalase (KatE) (PDB:6RJR)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG0693!!!COG0753	GC_00003534	1	0.2727	20	11
Flagellar basal body rod protein FlgG (FlgG) (PDB:6JZR)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG4786	GC_00001322	1	0.2727	20	11
DNA repair exonuclease SbcCD nuclease subunit (SbcD) (PDB:6S85)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG0420	GC_00003590	1	0.2727	20	11
Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase (HypB) (PDB:2HF8) (PUBMED:24338018;23899293)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG0378	GC_00003556	1	0.2727	20	11
ABC-type multidrug transport system, permease component (YadH)!!!ABC-type multidrug transport system, ATPase component (CcmA) (PDB:5DO7)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG0842!!!COG1131	GC_00003482	1	0.2727	20	11
Alkyl hydroperoxide reductase subunit AhpF (AhpF) (PDB:4YKG)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG3634	GC_00000046	1	0.2727	20	11
Type IV pilus assembly protein PilV (PilV)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG4967	GC_00003800, GC_00004212, GC_00004444, GC_00005043, GC_00005088, GC_00007665	1	0.2727	20	11
Translation elongation factor EF-Tu, a GTPase (TufA) (PDB:1EFU)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG0050	GC_00000039	1	0.2727	20	11
Pantothenate kinase type III (CoaX) (PDB:2F9T)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG1521	GC_00003579	1	0.2727	20	11
4-amino-2-methyl-5-hydroxymethylpyrimidine (HMP) synthase ThiC (ThiC) (PDB:3EPN) (PUBMED:15326535)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG0422	GC_00003576	1	0.2727	20	11
Arginine decarboxylase (spermidine biosynthesis) (SpeA) (PDB:3N2O)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG1166	GC_00003584	1	0.2727	20	11
Hydrogenase/urease accessory protein HupE (HupE)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG2370	GC_00003583, GC_00004128	1	0.2727	20	11
DNA-directed RNA polymerase specialized sigma subunit (FliA) (PDB:1RP3)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG1191	GC_00003557, GC_00004009	1	0.2727	20	11
Protein chain release factor RF1 (PrfA) (PDB:1RQ0)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG0216	GC_00003568	1	0.2727	20	11
Aspartyl-tRNA synthetase (AspS) (PDB:1C0A)	19.604750285215182	9.523212995946117e-6	5.060086569300287e-4	Reference	COG0173	GC_00003561	1	0.2727	20	11
Type IV pilus assembly protein PilX (PilX)	19.581420483899002	9.640213569400628e-6	5.060086569300287e-4	Reference	COG4726	GC_00003878, GC_00004416, GC_00005093, GC_00005097, GC_00005789	0.9	0.0909	20	11
Restriction endonuclease S subunit (HsdS) (PDB:1YDX)	18.18667967188951	2.0027467622142895e-5	0.0010293283879963858	Reference	COG0732	GC_00003833, GC_00004242, GC_00004874, GC_00004901, GC_00005004, GC_00005101, GC_00005241, GC_00005299, GC_00005489, GC_00005584, GC_00005929, GC_00006121, GC_00006339, GC_00006478, GC_00006855, GC_00006857, GC_00006908, GC_00006938, GC_00007353, GC_00007369, GC_00007491, GC_00007629, GC_00007776, GC_00007801	0.8	0	20	11
4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH (IspH) (PDB:3DNF)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG0761	GC_00003540	1	0.3636	20	11
Flagellar basal body rod protein FlgF (FlgF)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG4787	GC_00003500, GC_00004030	1	0.3636	20	11
Exopolysaccharide synthesis protein ExoD (ExoD) (PUBMED:1987158)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG3932	GC_00003503	1	0.3636	20	11
Hemolysin-related protein, contains CBS domains, UPF0053 family (TlyC) (PDB:2NQW)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG1253	GC_00003512, GC_00004668, GC_00004752, GC_00007240	1	0.3636	20	11
Membrane component of predicted Mg2+ transport system, contains DUF4010 domain (MgtC)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG3174	GC_00003520	1	0.3636	20	11
LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA) (LptD) (PDB:4N4R)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG1452	GC_00003547	1	0.3636	20	11
Flagellar basal body P-ring formation protein FlgA (FlgA) (PDB:3VJP)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG1261	GC_00003523, GC_00004057	1	0.3636	20	11
Type II secretory pathway, component HofQ (HofQ) (PDB:4AV2)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG4796	GC_00003529	1	0.3636	20	11
FoF1-type ATP synthase, membrane subunit a (AtpB) (PUBMED:22931285)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG0356	GC_00003496	1	0.3636	20	11
Flagellar basal body rod protein FlgB (FlgB)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG1815	GC_00003492, GC_00003985	1	0.3636	20	11
4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis) (EntD) (PDB:4QJK)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG2977	GC_00003549	1	0.3636	20	11
Transcriptional accessory protein Tex/SPT6 (Tex) (PDB:2OCE)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG2183	GC_00003532	1	0.3636	20	11
Flagellar basal body L-ring protein FlgH (FlgH)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG2063	GC_00003499, GC_00003955	1	0.3636	20	11
Transketolase (TktA) (PDB:1AY0)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG0021	GC_00003514	1	0.3636	20	11
Phosphoenolpyruvate synthase/pyruvate phosphate dikinase (PpsA) (PDB:5HV6)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG0574	GC_00003508	1	0.3636	20	11
Predicted carbamoyl transferase, NodU family (PDB:3VEN)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG2192	GC_00003516	1	0.3636	20	11
Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain (FumA) (PDB:5L2R)!!!Tartrate dehydratase alpha subunit/Fumarate hydratase class I, N-terminal domain (TtdA) (PDB:5L2R) (PUBMED:15613473)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG1838!!!COG1951	GC_00003515	1	0.3636	20	11
Electron transfer flavoprotein, alpha subunit FixB (FixB) (PDB:1EFP)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG2025	GC_00003350	1	0.3636	20	11
MinD-like ATPase FlhG/YlxH, activator of the FlhF-type GTPase (FlhG) (PDB:1G3Q)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG0455	GC_00003513	1	0.3636	20	11
Putative salt-induced outer membrane protein YdiY (YdiY)	16.439427885429403	5.022952326104633e-5	0.001822297557132372	Reference	COG3137	GC_00003524	1	0.3636	20	11
Ribosomal protein L36 (RpmJ) (PDB:1DFE) (PUBMED:21627333)	15.800645529429946	7.037849249781427e-5	0.0025162861013348957	Chennai	COG0257	GC_00003895	0.05	0.7273	20	11
Type IV secretory pathway, VirD4 component, TraG/TraD family ATPase (VirD4) (PDB:1GL6)	14.408252020538503	1.4715604472798576e-4	0.005113154399210435	Reference	COG3505	GC_00003756, GC_00004132, GC_00004422, GC_00006985, GC_00007011	0.8	0.0909	20	11
Type IV secretory pathway, VirB4 component (VirB4)	14.408252020538503	1.4715604472798576e-4	0.005113154399210435	Reference	COG3451	GC_00003762, GC_00003946, GC_00006084, GC_00006415	0.8	0.0909	20	11
DNA-binding transcriptional regulator AlpA (AlpA)	14.041193150006904	1.7884943226947558e-4	0.00557713459615224	Reference	COG3311	GC_00003834, GC_00003948, GC_00004277, GC_00004673, GC_00005181, GC_00005507, GC_00005876, GC_00006407, GC_00006656, GC_00007182, GC_00007698	0.7	0	20	11
Phenylalanyl-tRNA synthetase beta subunit (PheT) (PDB:3L4G)!!!tRNA-binding EMAP/Myf domain (EMAP) (PDB:1MKH)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG0072!!!COG0073	GC_00003472	1	0.4545	20	11
Cbb3-type cytochrome oxidase, subunit 1 (CcoN) (PDB:3MK7)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG3278	GC_00000042, GC_00003620	1	0.4545	20	11
DNA primase (bacterial type) (DnaG) (PDB:3B39) (PUBMED:28128549)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG0358	GC_00003434, GC_00004736, GC_00006979	1	0.4545	20	11
5-oxoprolinase subunit C/Allophanate hydrolase subunit 2 (PxpC) (PDB:3MML) (PUBMED:28830929)!!!5-oxoprolinase subunit B/Allophanate hydrolase subunit 1 (PxpB) (PDB:2KWA) (PUBMED:28830929)!!!Acetyl/propionyl-CoA carboxylase, alpha subunit (PccA) (PDB:3U9S)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG1984!!!COG2049!!!COG4770	GC_00003403	1	0.4545	20	11
ABC-type sulfate transport system, periplasmic component (Sbp) (PDB:5UM2)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG1613	GC_00003484	1	0.4545	20	11
Glutamate racemase (MurI) (PDB:1B73)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG0796	GC_00003464	1	0.4545	20	11
Flagellum-specific peptidoglycan hydrolase FlgJ (FlgJ) (PDB:2ZYC)!!!Rod binding protein domain (FlgJ1)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG1705!!!COG3951	GC_00003433	1	0.4545	20	11
Urease alpha subunit (UreC) (PDB:5A6T)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG0804	GC_00003452	1	0.4545	20	11
Flagellar hook-associated protein FlgK (FlgK) (PDB:2D4Y)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG1256	GC_00003675, GC_00003931, GC_00004243	1	0.4545	20	11
Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG3607	GC_00003453	1	0.4545	20	11
Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG0476	GC_00003443, GC_00006997, GC_00007764	1	0.4545	20	11
Prepilin signal peptidase PulO (type II secretory pathway) or related peptidase (PulO)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG1989	GC_00003488	1	0.4545	20	11
Ribonucleotide reductase beta subunit, ferritin-like domain (NrdB) (PDB:1AV8)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG0208	GC_00003471	1	0.4545	20	11
Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!GAF domain (GAF)!!!Extracytoplasmic sensor domain CHASE3 (specificity unknown) (CHASE3) (PDB:3VA9)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG0642!!!COG0745!!!COG0784!!!COG2203!!!COG5278	GC_00003477	1	0.4545	20	11
Nucleoside phosphorylase/nucleosidase, includes 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase MtnN and futalosine hydrolase MqnB (MtnN) (PDB:1T8R) (PUBMED:18801996)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG0775	GC_00003456, GC_00004811	1	0.4545	20	11
Putative hemolysin	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG3176	GC_00003473	1	0.4545	20	11
FoF1-type ATP synthase, membrane subunit b or b' (AtpF) (PDB:1B9U)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG0711	GC_00003494, GC_00007527	1	0.4545	20	11
Flagellar hook-capping protein FlgD (FlgD) (PDB:6IEF)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG1843	GC_00003414, GC_00003986	1	0.4545	20	11
DNA-directed RNA polymerase, beta' subunit/160 kD subunit (RpoC) (PDB:1NT9)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG0086	GC_00003409	1	0.4545	20	11
Cyclic di-GMP-binding flagellar brake protein FlgZ/YcgR, contains PilZNR(YcgR) and PilZ domains (YcgR) (PDB:5Y6F)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG5581	GC_00003431	1	0.4545	20	11
Acetyl/propionyl-CoA carboxylase, alpha subunit (PccA) (PDB:3U9S)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG4770	GC_00003486	1	0.4545	20	11
Uncharacterized conserved protein YehS, DUF1456 family (YehS)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG4807	GC_00003410	1	0.4545	20	11
Short chain fatty acids transporter (AtoE)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG2031	GC_00003447, GC_00007178	1	0.4545	20	11
Flagellar basal body rod protein FlgC (FlgC)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG1558	GC_00003406, GC_00003952	1	0.4545	20	11
Negative regulator of flagellin synthesis (anti-sigma28 factor) (FlgM)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG2747	GC_00003417	1	0.4545	20	11
ABC-type uncharacterized transport system, auxiliary component (PDB:2IQI)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG3218	GC_00003448	1	0.4545	20	11
Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)!!!PAS domain (PAS) (PDB:2MWG)!!!Extracytoplasmic sensor domain CHASE1 (specificity unknown) (CHASE1) (PDB:3T4J)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG0642!!!COG0745!!!COG2202!!!COG3614	GC_00003466	1	0.4545	20	11
Flagellar biosynthesis GTPase FlhF (FlhF) (PDB:3SYN)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG1419	GC_00003426	1	0.4545	20	11
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG2199!!!COG2200	GC_00003281, GC_00006550	1	0.4545	20	11
Uncharacterized coiled-coil protein SlyX (sensitive to lysis X) (SlyX) (PDB:3EFG)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG2900	GC_00003430	1	0.4545	20	11
Pyrimidine/purine nucleoside phosphorylase YaiE/PpnP, UPF0345/DUF1255 family (PpnP) (PDB:2OYZ) (PUBMED:27941785)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG3123	GC_00003440	1	0.4545	20	11
DNA-binding ferritin-like protein (oxidative damage protectant) (Dps) (PDB:1DPS)	13.527346151583977	2.351122813132683e-4	0.00557713459615224	Reference	COG0783	GC_00003304	1	0.4545	20	11
Type IV pilus assembly protein PilE (PilE) (PDB:2NBA)	12.77846988157311	3.5063161589951375e-4	0.008238173299277146	Reference	COG4968	GC_00003754, GC_00004214, GC_00004632, GC_00005035, GC_00005549, GC_00007382	0.9	0.2727	20	11
DNA-binding transcriptional regulator YiaG, XRE-type HTH domain (YiaG) (PDB:5JAA)	12.313889371058881	4.4960014872034396e-4	0.010270033026787858	Reference	COG2944	GC_00004366, GC_00004396, GC_00004691, GC_00004753, GC_00004904, GC_00005279	0.65	0	20	11
Type I site-specific restriction-modification system, R (restriction) subunit and related helicases ... (PDB:2W00)	12.313889371058881	4.4960014872034396e-4	0.010270033026787858	Reference	COG0610	GC_00004387, GC_00004581, GC_00004831, GC_00005419, GC_00005461, GC_00006031, GC_00006218, GC_00007056	0.65	0	20	11
Phage-related lysozyme (muramidase), GH24 family (RrrD) (PDB:4ZPU)	12.313889371058881	4.4960014872034396e-4	0.010270033026787858	Reference	COG3772	GC_00003752, GC_00005906	0.65	0	20	11
DNA polymerase III, gamma/tau subunits (DnaX) (PDB:1A5T)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG2812	GC_00003393	1	0.5455	20	11
Isoleucyl-tRNA synthetase (IleS) (PDB:1FFY)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0060	GC_00003363	1	0.5455	20	11
Carbamoylphosphate synthase small subunit (CarA) (PDB:1C30)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0505	GC_00003338	1	0.5455	20	11
Prolyl-tRNA synthetase (ProS) (PDB:5XIF)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0442	GC_00003368	1	0.5455	20	11
Ribosomal protein S10 (RpsJ) (PDB:4V4H)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0051	GC_00003306	1	0.5455	20	11
Neutral trehalase (TreA) (PDB:2JF4)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG1626	GC_00003391	1	0.5455	20	11
Gamma-glutamylcysteine synthetase (GshA) (PDB:1V4G)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG2918	GC_00003401	1	0.5455	20	11
Translation elongation factor EF-G, a GTPase (FusA) (PDB:1DAR)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0480	GC_00003352	1	0.5455	20	11
Di- and tricarboxylate antiporter (CitT) (PDB:4F35)!!!Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain (TrkA) (PDB:4XTT) (PUBMED:23815639;25957408;31868587;32095817)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0471!!!COG0569	GC_00003273	1	0.5455	20	11
Fucose 4-O-acetylase or related acetyltransferase (NolL) (PUBMED:21697094)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG3594	GC_00003082	1	0.5455	20	11
Flagellar capping protein FliD (FliD) (PDB:5FHY)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG1345	GC_00003727, GC_00003992, GC_00004102, GC_00004300, GC_00005401, GC_00005548	1	0.5455	20	11
Saccharopine dehydrogenase, NADP-dependent (Lys9) (PDB:1E5L)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG1748	GC_00003369	1	0.5455	20	11
Threonyl-tRNA synthetase (ThrS) (PDB:1NYQ)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG0441	GC_00003379	1	0.5455	20	11
FoF1-type ATP synthase accessory protein AtpI (AtpI) (PUBMED:18083842;23123906)	10.839259752197608	9.937045036174348e-4	0.016676659934858583	Reference	COG3312	GC_00003238	1	0.5455	20	11
