COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Reference	p_Chennai	N_Reference	N_Chennai
Adenosine deaminase (Add) (PDB:1A4L)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG1816	GC_00001933	1	0.6111	39	18
L-lactate utilization protein LutC, contains LUD domain (LutC) (PDB:2G40)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG1556	GC_00002013	1	0.6111	39	18
Predicted Fe2+/Mn2+ transporter, VIT1/CCC1 family (Ccc1) (PDB:6IU3)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG1814	GC_00002014	1	0.6111	39	18
Activator of 2-hydroxyglutaryl-CoA dehydratase (HSP70-class ATPase domain) (YjiL) (PDB:1HUX)!!!Predicted nucleotide-binding protein, sugar kinase/HSP70/actin superfamily!!!Predicted nucleotide-binding protein, sugar kinase/HSP70/actin superfamily (PUBMED:16107329)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG1924!!!COG3580!!!COG3581	GC_00001977	1	0.6111	39	18
Ribosomal protein L17 (RplQ) (PDB:1GD8)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG0203	GC_00002012	1	0.6111	39	18
IMP dehydrogenase/GMP reductase (GuaB) (PDB:1B3O)!!!CBS domain (CBS) (PDB:1B3O)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG0516!!!COG0517	GC_00001969	1	0.6111	39	18
Thioredoxin reductase (TrxB) (PDB:3FBS)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG0492	GC_00001990	1	0.6111	39	18
Precorrin-3B methylase (CobJ) (PDB:2ZVB)!!!Cobalamin biosynthesis protein CbiG (CbiG)!!!Precorrin-6B methylase 1 (CobL)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG1010!!!COG2073!!!COG2241	GC_00002018	1	0.6111	39	18
Xanthine/uracil permease (UraA) (PDB:3QE7)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG2233	GC_00002004	1	0.6111	39	18
DNA polymerase III, epsilon subunit or related 3'-5' exonuclease (DnaQ) (PDB:1J53)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG0847	GC_00001998	1	0.6111	39	18
Uncharacterized membrane protein YhaH, DUF805 family (yhaH)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG3152	GC_00002006	1	0.6111	39	18
Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)!!!DNA polymerase III, alpha subunit (gram-positive type) (PolC)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG0322!!!COG2176	GC_00001964	1	0.6111	39	18
ABC-type thiamine/hydroxymethylpyrimidine transport system, permease component (YkoE) (PDB:5EDL)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG4721	GC_00002005	1	0.6111	39	18
O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)!!!EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!Uncharacterized conserved protein, contains a NRPS condensation (elongation) domain	16.426298862648455	5.057861195727739e-5	0.0016088815613076808	Reference	COG0318!!!COG1020!!!COG4908	GC_00002144	0.8974	0.3889	39	18
ABC-type metal ion transport system, periplasmic component/surface antigen (NlpA) (PDB:1P99)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG1464	GC_00001965	1	0.6667	39	18
L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily (UlaG) (PDB:2WYM)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG2220	GC_00001880	1	0.6667	39	18
ABC-type methionine transport system, ATPase component (AbcC) (PDB:6CVL)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG1135	GC_00001958	1	0.6667	39	18
Nucleoside diphosphate kinase (Ndk) (PDB:1B4S)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG0105	GC_00001954	1	0.6667	39	18
Ribosome-associated translation inhibitor RaiA (RaiA) (PDB:1IMU)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG1544	GC_00001957	1	0.6667	39	18
c-di-AMP synthetase DisA, contains DisA_N, linker and DNA-binding domains (DisA) (PDB:3C1Y)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG1623	GC_00001946	1	0.6667	39	18
ABC-type sulfate/molybdate transport systems, ATPase component (CysA)!!!ABC-type molybdate transport system, permease component ModB (ModB)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG1118!!!COG4149	GC_00001938	1	0.6667	39	18
Glycerate kinase (GlxK) (PDB:1TO6)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG1929	GC_00001942	1	0.6667	39	18
Anthranilate/para-aminobenzoate synthases component I (TrpE) (PDB:1I1Q)!!!Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase) (PabA) (PDB:1I1Q)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG0147!!!COG0512	GC_00001940	1	0.6667	39	18
Predicted ATPase, AAA+ superfamily	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG1373	GC_00001797	1	0.6667	39	18
RNA polymerase-interacting regulator, CarD/CdnL/TRCF family (CdnL) (PDB:4ILU)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG1329	GC_00001854	1	0.6667	39	18
Cytochrome b subunit of the bc complex (QcrB/PetB) (PDB:1VF5)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG1290	GC_00001918	1	0.6667	39	18
Phage shock protein PspC (stress-responsive transcriptional regulator) (PspC)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG1983	GC_00001955	1	0.6667	39	18
Phosphopantetheine adenylyltransferase (CoaD) (PDB:3F3M)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG0669	GC_00001976	1	0.6667	39	18
Cell wall-associated hydrolase, NlpC_P60 family (NlpC) (PDB:2EVR)!!!Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB (EnvC)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG0791!!!COG4942	GC_00001907	1	0.6667	39	18
Ribonuclease HI (RnhA) (PDB:1LAW)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG0328	GC_00001952	1	0.6667	39	18
2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (IspF) (PDB:1GX1)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG0245	GC_00001960	1	0.6667	39	18
Holliday junction resolvasome RuvABC DNA-binding subunit (RuvA) (PDB:1BDX)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG0632	GC_00001948	1	0.6667	39	18
tRNA nucleotidyltransferase/poly(A) polymerase (PcnB) (PDB:3WFR)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG0617	GC_00001975	1	0.6667	39	18
H+/gluconate symporter GntT or related permease, GntP/DsdX family (GntT)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG2610	GC_00001902	1	0.6667	39	18
Fe-S cluster assembly scaffold protein IscU, NifU family (IscU) (PDB:1Q48)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG0822	GC_00001956	1	0.6667	39	18
(p)ppGpp synthase/hydrolase, HD superfamily (SpoT) (PDB:1TDJ)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG0317	GC_00001978	1	0.6667	39	18
Homoaconitase/3-isopropylmalate dehydratase large subunit (LeuC) (PDB:4KP1)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG0065	GC_00001963	1	0.6667	39	18
Acetyl/propionyl-CoA carboxylase, alpha subunit (PccA) (PDB:3U9S)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG4770	GC_00001825	1	0.6667	39	18
Isopropylmalate/homocitrate/citramalate synthases (LeuA) (PDB:4JN6)	14.531133046245401	1.3786231242708715e-4	0.0027490156627252003	Reference	COG0119	GC_00001458	1	0.6667	39	18
Surfactin synthase thioesterase subunit (GrsT) (PDB:6VAP)	13.639641164217933	2.214597558879615e-4	0.004351032850975244	Reference	COG3208	GC_00002132, GC_00002606	0.8974	0.4444	39	18
Shikimate kinase (AroK) (PDB:1E6C)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0703	GC_00001934, GC_00003252	1	0.7222	39	18
Metal-sulfur cluster biosynthetic enzyme (PaaD) (PDB:1UWD)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG2151	GC_00001887	1	0.7222	39	18
ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain (SunT) (PDB:3K8U)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG2274	GC_00001917	1	0.7222	39	18
Valyl-tRNA synthetase (ValS) (PDB:1GAX)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0525	GC_00001920	1	0.7222	39	18
Lipoprotein Med, regulator of KinD/Spo0A, PBP1-ABC superfamily, includes NupN (Med) (PDB:2FQW) (PUBMED:21622736)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG1744	GC_00001861	1	0.7222	39	18
N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase (MurQ) (PDB:4S12) (PUBMED:10095793)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG2103	GC_00001913	1	0.7222	39	18
Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0322	GC_00001895	1	0.7222	39	18
Nitroimidazole reductase NimA or a related FMN-containing flavoprotein, pyridoxamine 5'-phosphate oxidase superfamily (NimA) (PDB:1W3O)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG3467	GC_00001846	1	0.7222	39	18
Inosine-uridine nucleoside N-ribohydrolase (URH1) (PDB:1EZR)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG1957	GC_00001886	1	0.7222	39	18
Predicted extracellular nuclease	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG2374	GC_00001871, GC_00002439	1	0.7222	39	18
Methylmalonyl-CoA mutase, N-terminal domain/subunit (Sbm) (PDB:6OXC)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG1884	GC_00001864	1	0.7222	39	18
K+-sensing histidine kinase KdpD (KdpD) (PDB:2KSF)!!!HAMP domain (HAMP)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG2205!!!COG2770	GC_00001897	1	0.7222	39	18
ABC-type maltose transport system, permease component MalG (MalG) (PDB:2R6G)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG3833	GC_00000069	1	0.7222	39	18
Phosphotransferase system, galactitol-specific IIC component (SgcC)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG3775	GC_00000920	1	0.7222	39	18
Ribosomal protein S9 (RpsI) (PDB:4V4H)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0103	GC_00001882	1	0.7222	39	18
Ribosomal protein S7 (RpsG) (PDB:4V4H)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0049	GC_00001852	1	0.7222	39	18
Tryptophan synthase alpha chain (TrpA) (PDB:6HUL)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0159	GC_00001872	1	0.7222	39	18
Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase (ArgD) (PDB:2E54)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG4992	GC_00001667	1	0.7222	39	18
IMP dehydrogenase/GMP reductase (GuaB) (PDB:1B3O)!!!Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0516!!!COG2905	GC_00001914	1	0.7222	39	18
Phospholipase C (PlcC)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG3511	GC_00001894	1	0.7222	39	18
Cytoplasmic potassium-binding protein Kbp/XkdP/YgaU, contains LysM domain (XkdP) (PDB:5FIM) (PUBMED:27112601)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG1652	GC_00001149, GC_00002800	1	0.7222	39	18
Na+-dependent transporter, SNF family (YocR) (PDB:2A65)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0733	GC_00001884	1	0.7222	39	18
Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG1216	GC_00001833	1	0.7222	39	18
Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase (Acs) (PDB:4B2O) (PUBMED:14638756)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0365	GC_00002189, GC_00002203, GC_00002249, GC_00002587, GC_00003035	1	0.7222	39	18
Ribosomal protein S12 (RpsL) (PDB:4V4H)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0048	GC_00001845	1	0.7222	39	18
Signal peptidase I (LepB) (PDB:1B12) (PUBMED:1925027)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0681	GC_00001890	1	0.7222	39	18
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (IspD) (PDB:1H3M)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG1211	GC_00001885	1	0.7222	39	18
Translation elongation factor EF-G, a GTPase (FusA) (PDB:1DAR)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0480	GC_00001869, GC_00003094	1	0.7222	39	18
FoF1-type ATP synthase AtpZ/Atp1/AtpQ subunit, putative Ca2+/Mg2+ transporter (AtpZ) (PUBMED:12917488;23123906)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG5336	GC_00001866	1	0.7222	39	18
Oligoribonuclease (3'-5' exoribonuclease) (Orn) (PDB:1YTA)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG1949	GC_00001870	1	0.7222	39	18
Capsular polysaccharide biosynthesis protein YveK (YveK)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG3944	GC_00001912	1	0.7222	39	18
Predicted RNA methylase (PDB:6H2U)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG2263	GC_00001910	1	0.7222	39	18
ABC-type methionine transport system, permease component (MetP) (PDB:6CVL)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG2011	GC_00001878	1	0.7222	39	18
Glycyl-tRNA synthetase, class II (GRS1) (PDB:2PME)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0423	GC_00001860	1	0.7222	39	18
Methionyl-tRNA synthetase (MetG) (PDB:1A8H)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0143	GC_00001892	1	0.7222	39	18
L-lactate utilization protein LutB, contains a ferredoxin-type domain (LutB)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG1139	GC_00001788	1	0.7222	39	18
Citrate lyase beta subunit (CitE) (PDB:4ROQ)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG2301	GC_00001876	1	0.7222	39	18
DNA-binding transcriptional regulator WhiA, involved in cell division (WhiA) (PDB:3HYI)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG1481	GC_00001858	1	0.7222	39	18
Threonine/homoserine efflux transporter RhtA (RhtA)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG5006	GC_00001813	1	0.7222	39	18
Vitamin K epoxide reductase (VKOR) family protein, predicted involvement in disulfide bond formation (PDB:3KP9) (PUBMED:24576574)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG4243	GC_00001903	1	0.7222	39	18
ABC-type antimicrobial peptide transport system, permease component (SalY)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG0577	GC_00001104	1	0.7222	39	18
Poly-gamma-glutamate biosynthesis protein CapA/YwtB (capsule formation), metallophosphatase superfamily (CapA)	11.876366954153738	5.685072891932612e-4	0.00672146671116989	Reference	COG2843	GC_00001862	1	0.7222	39	18
Acyl-CoA thioesterase PaaI, contains HGG motif (PaaI) (PDB:1PSU)	11.876366954153736	5.685072891932617e-4	0.00672146671116989	Chennai	COG2050	GC_00002687, GC_00002810	0	0.2778	39	18
Transposase and inactivated derivatives, IS30 family (Tra8)	11.876366954153736	5.685072891932617e-4	0.00672146671116989	Chennai	COG2826	GC_00002688, GC_00002742	0	0.2778	39	18
Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957)	11.876366954153736	5.685072891932617e-4	0.00672146671116989	Chennai	COG2963	GC_00002615, GC_00002859, GC_00003176	0	0.2778	39	18
Biotin carboxylase (AccC) (PDB:1BNC)	11.5995522759726	6.596769884924978e-4	0.007730951373912079	Reference	COG0439	GC_00002143	0.8718	0.4444	39	18
Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family (OCDMu) (PDB:2I99)	11.049885332174902	8.869268388846829e-4	0.01030377614565162	Reference	COG2423	GC_00002116, GC_00002592	0.8974	0.5	39	18
Endo-1,4-beta-mannosidase (PDB:3PZ9)	10.823755919361673	0.0010020600327532035	0.011540967273778275	Reference	COG3934	GC_00002011	0.9744	0.6667	39	18
5,10-methylenetetrahydrofolate reductase (MetF) (PDB:1B5T)	9.395604412748607	0.0021750628604633097	0.01528039110540899	Chennai	COG0685	GC_00002122	0.6154	1	39	18
Ribonuclease G or E (CafA) (PDB:1SLJ)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG1530	GC_00001777	1	0.7778	39	18
Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid) (WcaJ) (PDB:5W7L)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG2148	GC_00001785	1	0.7778	39	18
Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)!!!Cupin domain protein related to quercetin dioxygenase (QdoI) (PDB:2H0V)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG1396!!!COG1917	GC_00001820	1	0.7778	39	18
NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G) (NuoG) (PDB:1C4A)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG1034	GC_00001784	1	0.7778	39	18
Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family (CofD) (PDB:1ZX8) (PUBMED:11888293;18252724)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG0391	GC_00001694	1	0.7778	39	18
Ribosomal protein S1 (RpsA) (PDB:4NNH)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG0539	GC_00001707	1	0.7778	39	18
Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific (PtsG1)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG1263	GC_00001720	1	0.7778	39	18
Anaerobic ribonucleoside-triphosphate reductase (NrdD) (PDB:4COI)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG1328	GC_00001829	1	0.7778	39	18
tRNA A37 threonylcarbamoyladenosine modification protein TsaB (TsaB) (PDB:1OKJ)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG1214	GC_00001735	1	0.7778	39	18
Chromosome segregation protein Spo0J, contains ParB-like nuclease domain (Spo0J) (PDB:1R71)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG1475	GC_00001697	1	0.7778	39	18
Uncharacterized conserved protein, DUF2344 family	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG5011	GC_00001758	1	0.7778	39	18
Formyltetrahydrofolate hydrolase (PurU) (PDB:3O1L)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG0788	GC_00001690	1	0.7778	39	18
Alpha-galactosidase/6-phospho-beta-glucosidase, family 4 of glycosyl hydrolase (CelF) (PDB:1OBB)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG1486	GC_00001726	1	0.7778	39	18
NhaP-type Na+/H+ or K+/H+ antiporter (NhaP) (PDB:4CZB)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG0025	GC_00001732	1	0.7778	39	18
Cell wall-associated hydrolase, NlpC_P60 family (NlpC) (PDB:2EVR)!!!Uncharacterized conserved protein YgiM, contains N-terminal SH3 domain, DUF1202 family (YgiM) (PDB:2KQ8)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG0791!!!COG3103	GC_00001727	1	0.7778	39	18
Cyanophycinase and related exopeptidases (CphB) (PDB:3EN0)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG4242	GC_00001818	1	0.7778	39	18
Ribonuclease D (Rnd) (PDB:5C0Y) (PUBMED:18821773)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG0349	GC_00001722	1	0.7778	39	18
NAD(P)H-nitrite reductase, large subunit (NirB)	9.321658790615245	0.0022646088614303467	0.01528039110540899	Reference	COG1251	GC_00001843	1	0.7778	39	18
