feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,Taxa,Log2FC,Mean_rel_abt_on_kiosk
Acinetobacter.baumannii,is_Rod,Rod,0.0020812764427311,0.0006629522524944,47,47,0.0029872016848912,0.0094132937688783,Acinetobacter.baumannii,1.3671830371315146,0.0050151331269979
Nocardioides.sp..R.3366,is_Rod,Rod,-0.0016028303992221,0.00051954320137,47,47,0.0034743171122017,0.0101096810637323,Nocardioides.sp..R.3366,-0.929330069046724,0.0006941226643195
Nocardioides.seonyuensis,is_Rod,Rod,-0.0019099762320731,0.0006194791511171,47,47,0.003492435276562,0.0101096810637323,Nocardioides.seonyuensis,-1.1611592501110692,0.0007567492876456
Phycicoccus.sp..HDW14,is_Rod,Rod,-0.0017387764485599,0.0005626554605417,47,47,0.0034243806182478,0.0101096810637323,Phycicoccus.sp..HDW14,-0.7959933222345175,0.0010379317479048
Lysobacter.oculi,is_Rod,Rod,-0.001436095733484,0.0004674414904856,47,47,0.0035997810533399,0.0101532286119846,Lysobacter.oculi,-0.5740595516445364,0.0009432985011547
Nocardioides.sp..HDW12B,is_Rod,Rod,-0.0017841090148245,0.0005939620427134,47,47,0.0043449391591344,0.0119485826876198,Nocardioides.sp..HDW12B,-1.06046109459969,0.0007456331762002
Tessaracoccus.flavus,is_Rod,Rod,-0.0019828140862887,0.0006639925463076,47,47,0.0045577914192209,0.0122282208808368,Tessaracoccus.flavus,-1.125944447469971,0.0008531957250726
Exiguobacterium.mexicanum,is_Rod,Rod,-0.0017667638594806,0.0005993627257779,47,47,0.0050590632839789,0.0126476582099475,Exiguobacterium.mexicanum,-1.0568092773866464,0.0007332621491981
Thermomonas.sp..SY21,is_Rod,Rod,-0.0018985549570495,0.0006419400686425,47,47,0.00492680487611,0.0126476582099475,Thermomonas.sp..SY21,-1.1597082617065233,0.000749023654082
Chryseobacterium.taklimakanense,is_Rod,Rod,-0.0012648772962545,0.0004284335101076,47,47,0.0049966010292773,0.0126476582099475,Chryseobacterium.taklimakanense,-0.4028187686473039,0.0008985630644156
Brachybacterium.saurashtrense,is_Rod,Rod,-0.0017464610788295,0.0005943437281548,47,47,0.0051873189872778,0.0126801130800124,Brachybacterium.saurashtrense,-0.3045062121712947,0.0032965867926824
Dietzia.lutea,is_Rod,Rod,-0.0010325131713131,0.0003541936070812,47,47,0.0055242014620081,0.0132100469743673,Dietzia.lutea,-0.0657401807274524,0.0012140302296855
Propioniciclava.sp..HDW11,is_Rod,Rod,-0.00296584605425,0.001035873593688,47,47,0.0063482340150831,0.0146492855532431,Propioniciclava.sp..HDW11,-1.2200613689999962,0.001501800611425
Deinococcus.sp..NW.56,is_Rod,Rod,-0.0026623232335662,0.0009307099785089,47,47,0.0063924155141424,0.0146492855532431,Deinococcus.sp..NW.56,-2.0085090796926988,0.0005590401297608
Corynebacterium.aurimucosum,is_Rod,Rod,-0.0007309852658794,0.0002584231064777,47,47,0.0069568237676181,0.0156173594783264,Corynebacterium.aurimucosum,0.3113981969143484,0.0012623672957007
Tessaracoccus.sp..T2.5.30,is_Rod,Rod,-0.0027197855136098,0.0009781505802211,47,47,0.007896045914564,0.0173713010120409,Tessaracoccus.sp..T2.5.30,-1.383948619258396,0.0010865326371108
Kocuria.flava,is_Rod,Rod,-0.0043183664349532,0.0015940625517899,47,47,0.0095109132983512,0.0205137345650714,Kocuria.flava,-1.530312163735645,0.0017791379590043
Dietzia.sp..oral.taxon.368,is_Rod,Rod,-0.0010476989764245,0.0003958394079264,47,47,0.011159172080237,0.0236059409389628,Dietzia.sp..oral.taxon.368,-0.0604830683916244,0.0016784550266687
Brevibacterium.linens,is_Rod,Rod,-0.0010238894427324,0.0004049783594778,47,47,0.0150408898677107,0.0312169412348713,Brevibacterium.linens,-0.0508289478184771,0.0013510586369715
Cloacibacterium.normanense,is_Rod,Rod,-0.0020630947932844,0.0008783516910973,47,47,0.0232842206213661,0.0474308197842643,Cloacibacterium.normanense,-0.855015649918311,0.0013487791593893
Corynebacterium.ureicelerivorans,is_Rod,Rod,0.00350246324035,0.0015012357934922,47,47,0.024174602881794,0.048349205763588,Corynebacterium.ureicelerivorans,1.2417077538846728,0.0078508471689142
Janibacter.limosus,is_Rod,Rod,-0.0011128102125854,0.0004899524930943,47,47,0.027963857971229,0.0539825923573163,Janibacter.limosus,-0.0677104153575616,0.0028571844114131
Geodermatophilus.obscurus,is_Rod,Rod,-0.0043747095757019,0.0019262304226938,47,47,0.0279727978578821,0.0539825923573163,Geodermatophilus.obscurus,-2.508958821107512,0.0007281578060566
Microbacterium.aurum,is_Rod,Rod,-0.0031247129503281,0.0013933823849929,47,47,0.0298990064584574,0.0566808868482073,Microbacterium.aurum,-1.4108664343261577,0.0013018761793755
Paracoccus.sanguinis,is_Rod,Rod,-0.0034610792760807,0.0015483393418403,47,47,0.0304015665822203,0.0566808868482073,Paracoccus.sanguinis,-0.4259735501787176,0.007300703946778
Kocuria.sp..KD4,is_Rod,Rod,-0.002008865626002,0.0009080799499878,47,47,0.0320703484546664,0.0568990053227952,Kocuria.sp..KD4,-1.3986913891578592,0.0006333963662612
Stenotrophomonas.maltophilia,is_Rod,Rod,-0.0011002725720337,0.0004955498030459,47,47,0.0314775165140002,0.0568990053227952,Stenotrophomonas.maltophilia,-0.0671814693265808,0.0026111031681095
Luteimonas.sp..YGD11.2,is_Rod,Rod,-0.0012888086755677,0.0005824701532831,47,47,0.0320372682379249,0.0568990053227952,Luteimonas.sp..YGD11.2,-0.3121162555116985,0.0012999874732208
Staphylococcus.haemolyticus,is_Rod,Rod,-0.0007016787455794,0.0003438688120618,47,47,0.0471895667885719,0.0823944816943319,Staphylococcus.haemolyticus,0.33197350752312,0.0013375364787605
Chroococcidiopsis.thermalis,is_Rod,Rod,-0.0027357208520951,0.0013755386218827,47,47,0.0528203124893045,0.0905450388984616,Chroococcidiopsis.thermalis,-1.0174909501127587,0.0017255924599206
Acinetobacter.junii,is_Rod,Rod,0.0059420058576382,0.0029966423415202,47,47,0.0535038866218182,0.0905450388984616,Acinetobacter.junii,0.89158175692884,0.0152375098691164
Kytococcus.sedentarius,is_Rod,Rod,-0.0029777397224621,0.0015147020501766,47,47,0.055499378888257,0.0924989648137617,Kytococcus.sedentarius,-0.3656845235497794,0.0069952219694787
Cutibacterium.acnes,is_Rod,Rod,0.0326635016910686,0.0169058581041168,47,47,0.0596599124971944,0.0979491100700207,Cutibacterium.acnes,0.8655598746839144,0.0784638162533221
Sphingobium.yanoikuyae,is_Rod,Rod,-0.0017083413888636,0.0009294886391738,47,47,0.0726787205129888,0.117568518476894,Sphingobium.yanoikuyae,-0.5064785794339546,0.0017515416621538
Paracoccus.sp..Arc7.R13,is_Rod,Rod,-0.003172614119673,0.0017652793097499,47,47,0.0790117246468923,0.125960720451567,Paracoccus.sp..Arc7.R13,-0.4038440046369924,0.0068648533399996
Gordonia.sp..JH63,is_Rod,Rod,-0.0010023304806245,0.0005617583192921,47,47,0.0811225022410102,0.127478217807302,Gordonia.sp..JH63,-0.0245435337091493,0.001528240683316
Corynebacterium.xerosis,is_Rod,Rod,-0.001660765722472,0.0009345582863247,47,47,0.0823180510906752,0.127535008732032,Corynebacterium.xerosis,-0.6716247069956491,0.0011622077473733
Gordonia.terrae,is_Rod,Rod,-0.0012032027978579,0.0007213121700432,47,47,0.102245761524428,0.156208802328987,Gordonia.terrae,-0.1598326764668147,0.0019436461263691
Escherichia.coli,is_Rod,Rod,-0.0014819776655224,0.001027935208615,47,47,0.156309632103701,0.235535062074071,Escherichia.coli,-0.4716538709400772,0.0013181871862275
Pseudoxanthomonas.suwonensis,is_Rod,Rod,-0.0014058598695954,0.0009957238659164,47,47,0.164858114569407,0.245059359495064,Pseudoxanthomonas.suwonensis,-0.2637608181317734,0.0021485028015505
Pseudomonas.putida,is_Rod,Rod,-0.0006212073219121,0.000448247765785,47,47,0.172620508050258,0.253176745140378,Pseudomonas.putida,0.3140290124600451,0.0018156274017604
Acinetobacter.schindleri,is_Rod,Rod,0.0012354137173024,0.0009854733363171,47,47,0.216452497610035,0.313286509698735,Acinetobacter.schindleri,0.6083600508947873,0.0064741252592304
Micrococcus.luteus,is_Rod,Rod,0.0100350172323348,0.0081295032074729,47,47,0.223463256172191,0.31923322310313,Micrococcus.luteus,0.302883631188048,0.0615260379490712
Corynebacterium.segmentosum,is_Rod,Rod,0.0014461868172373,0.0011856784129805,47,47,0.228928122281674,0.322847351935694,Corynebacterium.segmentosum,0.7340860979490467,0.0060912080319196
Acinetobacter.sp..ACNIH1,is_Rod,Rod,-0.0005472024501399,0.0004547970439296,47,47,0.235198824429586,0.32749203401588,Acinetobacter.sp..ACNIH1,0.2478511686089106,0.0027183070861752
Pseudomonas.aeruginosa,is_Rod,Rod,-0.0009648643200812,0.0008678836759751,47,47,0.272152792461175,0.374210089634115,Pseudomonas.aeruginosa,0.0043210436535421,0.003013645859063
Pseudomonas.alcaligenes,is_Rod,Rod,-0.0028099372688531,0.0026421855267898,47,47,0.293233684816326,0.398218584318467,Pseudomonas.alcaligenes,-0.579035919947505,0.0037779479868087
Corynebacterium.sanguinis,is_Rod,Rod,0.0017284691808878,0.0016676039347098,47,47,0.305507462448099,0.400069296062987,Corynebacterium.sanguinis,0.9517364439147658,0.0056410639481339
Dietzia.timorensis,is_Rod,Rod,-0.0012793251160949,0.0012246272595305,47,47,0.301757354905932,0.400069296062987,Dietzia.timorensis,-0.2274128879936512,0.0018126085684707
Malassezia.restricta,is_Rod,Rod,0.0096820654891354,0.0093291731241327,47,47,0.304895392015998,0.400069296062987,Malassezia.restricta,0.8111362042900625,0.024696471763735
Acinetobacter.towneri,is_Rod,Rod,0.0006043924896248,0.0006276270466921,47,47,0.340703845271169,0.440910858586219,Acinetobacter.towneri,0.9378632681699416,0.0033129635239307
Aspergillus.oryzae,is_Rod,Rod,0.0008880087170666,0.0010053228528771,47,47,0.381765164575551,0.488304280271053,Aspergillus.oryzae,0.8203108074811265,0.0043240547231515
Rothia.mucilaginosa,is_Rod,Rod,-0.0002791450434342,0.00038239664292,47,47,0.469180646665405,0.593216909576949,Rothia.mucilaginosa,0.6983899540818488,0.0018198452939152
Massilia.oculi,is_Rod,Rod,-0.0040225131888554,0.0058918945462093,47,47,0.498283682637367,0.622854603296708,Massilia.oculi,-2.279820508715998,0.0008232551641778
Pseudomonas.oryzihabitans,is_Rod,Rod,0.0003653437483892,0.0006042332355011,47,47,0.548454845644201,0.677865539560249,Pseudomonas.oryzihabitans,0.7751188102149218,0.0032375906013963
Thalassiosira.pseudonana,is_Rod,Rod,-0.0014987930808851,0.0025239374905031,47,47,0.555598496074995,0.679064828536105,Thalassiosira.pseudonana,-0.2539125785247993,0.0028274113940879
Staphylococcus.hominis,is_Rod,Rod,0.0004080278971541,0.0007251568567492,47,47,0.576448621235854,0.696806025669713,Staphylococcus.hominis,0.5339161744638599,0.0044871710131824
Brevibacterium.luteolum,is_Rod,Rod,-0.000200277817622,0.000364161108561,47,47,0.58505926860509,0.699527386375651,Brevibacterium.luteolum,0.7145122215880058,0.001990845038774
Staphylococcus.saprophyticus,is_Rod,Rod,-0.0005121540141889,0.0009492065973457,47,47,0.592160426722205,0.700404805800458,Staphylococcus.saprophyticus,0.3008918768639628,0.0024587787928008
Comamonas.aquatica,is_Rod,Rod,0.0007705142795715,0.0017318943962168,47,47,0.658527007858844,0.77061671132418,Comamonas.aquatica,0.6953575089202015,0.0045753472240183
Pseudomonas.mendocina,is_Rod,Rod,-0.0011326631927797,0.003724094218152,47,47,0.762419742910141,0.880283108687876,Pseudomonas.mendocina,-0.0548883320923891,0.0052661641362584
Aeromonas.caviae,is_Rod,Rod,-9.13361828760726e-05,0.0003080952626902,47,47,0.768247076673056,0.880283108687876,Aeromonas.caviae,0.7659887856903289,0.0021512989262206
Brevibacterium.sp..CS2,is_Rod,Rod,-0.0001985514908431,0.0007513161872351,47,47,0.79277729205097,0.899025795109348,Brevibacterium.sp..CS2,0.2776812831694917,0.0044498796059923
Staphylococcus.epidermidis,is_Rod,Rod,-0.0004446356174399,0.0020202234764758,47,47,0.826794714092861,0.918660793436512,Staphylococcus.epidermidis,0.2302956302117405,0.0035090763165098
Moraxella.osloensis,is_Rod,Rod,-0.001197526607569,0.0052693598550515,47,47,0.821249171433182,0.918660793436512,Moraxella.osloensis,-0.0405693798371462,0.0110767923657879
Cutibacterium.granulosum,is_Rod,Rod,0.0001489849543671,0.0011007208516954,47,47,0.892937086243651,0.953622130939821,Cutibacterium.granulosum,0.5241273583864299,0.0036917486680101
Janibacter.indicus,is_Rod,Rod,-0.0005392221888407,0.0035341543362279,47,47,0.879415824559192,0.953622130939821,Janibacter.indicus,0.0466148459876949,0.0134340539864392
Staphylococcus.capitis,is_Rod,Rod,7.99972178811484e-05,0.0005081648112903,47,47,0.875615133879708,0.953622130939821,Staphylococcus.capitis,0.8264467733265182,0.0024244094883347
Rheinheimera.sp..LHK132,is_Rod,Rod,-0.0009100271144304,0.0065754415039873,47,47,0.890543454904536,0.953622130939821,Rheinheimera.sp..LHK132,-0.0220300818654957,0.0048783978118844
Micrococcus.sp..KBS0714,is_Rod,Rod,4.33807510086645e-05,0.000370736737574,47,47,0.907371012263111,0.955773242201917,Micrococcus.sp..KBS0714,0.7175742076366038,0.0026059720248504
Corynebacterium.minutissimum,is_Rod,Rod,-5.45508339055609e-05,0.0005470977066992,47,47,0.921017851576393,0.955773242201917,Corynebacterium.minutissimum,0.5488668319256096,0.0029162675525862
Aspergillus.fumigatus,is_Rod,Rod,0.0001041351836648,0.0009972287573935,47,47,0.917296473011361,0.955773242201917,Aspergillus.fumigatus,0.5871985418357788,0.0032438369707454
Kocuria.palustris,is_Rod,Rod,0.0001262932338264,0.0024769585869608,47,47,0.959561360628534,0.973809663536687,Kocuria.palustris,0.0906441308222394,0.0182415352430615
Corynebacterium.jeikeium,is_Rod,Rod,3.08846411908982e-05,0.0008531106047731,47,47,0.971281102176154,0.973809663536687,Corynebacterium.jeikeium,0.3879617515251556,0.0042778338517335
Corynebacterium.singulare,is_Rod,Rod,1.86699861789112e-05,0.0004340169166083,47,47,0.965878512525418,0.973809663536687,Corynebacterium.singulare,1.0230958000776518,0.0019647855737708
Staphylococcus.arlettae,is_Rod,Rod,8.65919709403282e-05,0.0026229102086944,47,47,0.973809663536687,0.973809663536687,Staphylococcus.arlettae,0.1826854994817077,0.0088334569874397
